image_url,id,Категория,Сезон,Материал подошвы,Материал верха,Цвет
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B0JW_21031102_1_v1.jpg,MP002XM0B0JW,Трекинговые ботинки,демисезон,резина,текстиль,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B0JW_21031103_2_v1.jpg,MP002XM0B0JW,Трекинговые ботинки,демисезон,резина,текстиль,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B0JW_21031104_3_v1.jpg,MP002XM0B0JW,Трекинговые ботинки,демисезон,резина,текстиль,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B0JW_21031105_4_v1.jpg,MP002XM0B0JW,Трекинговые ботинки,демисезон,резина,текстиль,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B0JW_21031106_5_v1.jpg,MP002XM0B0JW,Трекинговые ботинки,демисезон,резина,текстиль,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM00MUM_24477229_1_v1.jpg,MP002XM00MUM,Ботинки,зима,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM00MUM_24477230_2_v1.jpg,MP002XM00MUM,Ботинки,зима,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM00MUM_24477231_3_v1.jpg,MP002XM00MUM,Ботинки,зима,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM00MUM_24477232_4_v1.jpg,MP002XM00MUM,Ботинки,зима,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM00MUM_24477233_5_v1.jpg,MP002XM00MUM,Ботинки,зима,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1RL3K_15522219_1_v2.jpg,MP002XM1RL3K,Высокие ботинки,демисезон,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1RL3K_15522220_2_v1.jpg,MP002XM1RL3K,Высокие ботинки,демисезон,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1RL3K_15522221_3_v1.jpg,MP002XM1RL3K,Высокие ботинки,демисезон,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1RL3K_15522222_4_v1.jpg,MP002XM1RL3K,Высокие ботинки,демисезон,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1RL3K_15522223_5_v1.jpg,MP002XM1RL3K,Высокие ботинки,демисезон,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HVQ7_15965344_1_v1.jpg,MP002XM1HVQ7,Высокие ботинки,зима,термоэластопласт,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HVQ7_15965345_2_v1.jpg,MP002XM1HVQ7,Высокие ботинки,зима,термоэластопласт,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HVQ7_15965346_3_v1.jpg,MP002XM1HVQ7,Высокие ботинки,зима,термоэластопласт,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HVQ7_15965347_4_v1.jpg,MP002XM1HVQ7,Высокие ботинки,зима,термоэластопласт,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HVQ7_15965348_5_v1.jpg,MP002XM1HVQ7,Высокие ботинки,зима,термоэластопласт,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1D_17779337_1_v3.jpg,MP002XM08D1D,Высокие ботинки,демисезон,резина,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1D_17779338_2_v2.jpg,MP002XM08D1D,Высокие ботинки,демисезон,резина,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1D_17779339_3_v2.jpg,MP002XM08D1D,Высокие ботинки,демисезон,резина,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1D_17779340_4_v2.jpg,MP002XM08D1D,Высокие ботинки,демисезон,резина,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM08D1D_17779341_5_v2.jpg,MP002XM08D1D,Высокие ботинки,демисезон,резина,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/R/T/RTLADU265101_24730269_1_v1.jpg,RTLADU265101,Высокие ботинки,"демисезон, зима",термопластичная резина,искусственный материал,черный
