image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XU0DIB6_20142563_1_v1_2x.jpeg,MP002XU0DIB6,Уход за одеждой,мульти,бирюзовый,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Амфотерные ПАВ, динатриевая соль ЭДТА, отдушка, консервант, неионогенны ПАВ, анионные ПАВ, вода"
https://a.lmcdn.ru/img600x866/M/P/MP002XU08BNO_24929509_1_v1.jpg,MP002XU08BNO,Уход за одеждой,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Другое волокно - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XU08BNO_24929510_2_v1.jpg,MP002XU08BNO,Уход за одеждой,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Другое волокно - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XU08BNX_24929511_1_v1.jpg,MP002XU08BNX,Уход за одеждой,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Пластик - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XU08BNX_24929512_2_v1.jpg,MP002XU08BNX,Уход за одеждой,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Пластик - 100%
https://a.lmcdn.ru/img600x866/B/A/BA007EWLBUS1_12277826_1_v2.jpg,BA007EWLBUS1,Уход за одеждой,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано
https://a.lmcdn.ru/img600x866/B/A/BA007EWLBUS1_21059949_2_v1.jpg,BA007EWLBUS1,Уход за одеждой,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано
https://a.lmcdn.ru/img600x866/M/P/MP002XU0DIB8_20142570_1_v1_2x.jpeg,MP002XU0DIB8,Уход за одеждой,мульти,желтый,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Амфотерные ПАВ, динатриевая соль ЭДТА, отдушка, консервант, неионогенны ПАВ, анионные ПАВ, вода"
https://a.lmcdn.ru/img600x866/B/A/BA007EWLBUS2_12276030_1_v2.jpg,BA007EWLBUS2,Уход за одеждой,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано
https://a.lmcdn.ru/img600x866/B/A/BA007EWLBUS2_21059950_2_v1.jpg,BA007EWLBUS2,Уход за одеждой,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано
https://a.lmcdn.ru/img600x866/R/T/RTLACE977201_18666911_1_v1.jpg,RTLACE977201,Уход за обувью,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано
https://a.lmcdn.ru/img600x866/R/T/RTLACE977201_18666912_2_v1.jpg,RTLACE977201,Уход за обувью,мульти,прозрачный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано
