image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YUGQ_21017524_1_v1_2x.jpeg,MP002XW0YUGQ,Блузы,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 65%, Полиэстер - 30%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YUGQ_21017516_2_v1_2x.jpeg,MP002XW0YUGQ,Блузы,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 65%, Полиэстер - 30%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YUGQ_21017510_3_v1_2x.jpeg,MP002XW0YUGQ,Блузы,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 65%, Полиэстер - 30%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YUGQ_21017521_4_v1_2x.jpeg,MP002XW0YUGQ,Блузы,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 65%, Полиэстер - 30%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IM8F_25533035_1_v1_2x.jpg,MP002XW0IM8F,Блузы без рукавов,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 98%, Эластан - 2%","Полиэстер - 98%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IM8F_25533036_2_v1_2x.jpg,MP002XW0IM8F,Блузы без рукавов,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 98%, Эластан - 2%","Полиэстер - 98%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IM8F_25533037_3_v1_2x.jpg,MP002XW0IM8F,Блузы без рукавов,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 98%, Эластан - 2%","Полиэстер - 98%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IM8F_25533038_4_v1_2x.jpg,MP002XW0IM8F,Блузы без рукавов,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 98%, Эластан - 2%","Полиэстер - 98%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW14VCK_23131438_1_v1.jpeg,MP002XW14VCK,Блузы с длинным рукавом,мульти,черный,однотонный,Не указано,атлас/сатин,Не указано,молния,разрезы/вырезы,Не указано,Не указано,без подкладки,"Вискоза - 60%, Полиэстер - 35%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW14VCK_23131448_2_v1.jpeg,MP002XW14VCK,Блузы с длинным рукавом,мульти,черный,однотонный,Не указано,атлас/сатин,Не указано,молния,разрезы/вырезы,Не указано,Не указано,без подкладки,"Вискоза - 60%, Полиэстер - 35%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW14VCK_23131546_3_v1.jpeg,MP002XW14VCK,Блузы с длинным рукавом,мульти,черный,однотонный,Не указано,атлас/сатин,Не указано,молния,разрезы/вырезы,Не указано,Не указано,без подкладки,"Вискоза - 60%, Полиэстер - 35%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW14VCK_23131442_4_v1.jpeg,MP002XW14VCK,Блузы с длинным рукавом,мульти,черный,однотонный,Не указано,атлас/сатин,Не указано,молния,разрезы/вырезы,Не указано,Не указано,без подкладки,"Вискоза - 60%, Полиэстер - 35%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17TQ6_24499807_1_v2_2x.jpg,MP002XW17TQ6,Рубашки с длинным рукавом,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 60%, Хлопок - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17TQ6_24499808_2_v2_2x.jpg,MP002XW17TQ6,Рубашки с длинным рукавом,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 60%, Хлопок - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17TQ6_24499811_3_v2_2x.jpg,MP002XW17TQ6,Рубашки с длинным рукавом,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 60%, Хлопок - 40%"
