image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JL09_20888891_1_v1_2x.jpg,MP002XW0JL09,Боди c длинным рукавом,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JL09_20888892_2_v1_2x.jpg,MP002XW0JL09,Боди c длинным рукавом,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JL09_20888893_3_v1_2x.jpg,MP002XW0JL09,Боди c длинным рукавом,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JL09_20879833_9_v1.jpg,MP002XW0JL09,Боди c длинным рукавом,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17XGL_24607674_1_v1_2x.jpg,MP002XW17XGL,Боди с коротким рукавом,мульти,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 96%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17XGL_24607675_2_v1_2x.jpg,MP002XW17XGL,Боди с коротким рукавом,мульти,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 96%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/R/T/RTLADU305601_24701068_1_v1.jpg,RTLADU305601,Боди c длинным рукавом,мульти,черный,однотонный,Не указано,сетка,Не указано,кнопки,"кружево, прозрачность",Не указано,Не указано,Не указано,"Вискоза - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADU305601_24701077_2_v1.jpg,RTLADU305601,Боди c длинным рукавом,мульти,черный,однотонный,Не указано,сетка,Не указано,кнопки,"кружево, прозрачность",Не указано,Не указано,Не указано,"Вискоза - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADU305601_24701079_3_v1.jpg,RTLADU305601,Боди c длинным рукавом,мульти,черный,однотонный,Не указано,сетка,Не указано,кнопки,"кружево, прозрачность",Не указано,Не указано,Не указано,"Вискоза - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADU305601_24701085_4_v1.jpg,RTLADU305601,Боди c длинным рукавом,мульти,черный,однотонный,Не указано,сетка,Не указано,кнопки,"кружево, прозрачность",Не указано,Не указано,Не указано,"Вискоза - 95%, Эластан - 5%"
