image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW03CCF_12340269_1_v2.jpeg,MP002XW03CCF,Широкие и расклешенные,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Шерсть - 32%, Вискоза - 37%, Полиэстер - 29%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW03CCF_12340268_2_v2.jpeg,MP002XW03CCF,Широкие и расклешенные,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Шерсть - 32%, Вискоза - 37%, Полиэстер - 29%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW03CCF_12340270_3_v2.jpeg,MP002XW03CCF,Широкие и расклешенные,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Шерсть - 32%, Вискоза - 37%, Полиэстер - 29%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW03CCF_12340267_4_v2.jpeg,MP002XW03CCF,Широкие и расклешенные,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Шерсть - 32%, Вискоза - 37%, Полиэстер - 29%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EUF8_21618045_1_v2.jpeg,MP002XW0EUF8,Леггинсы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 68%, Полиэстер - 27%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EUF8_21618029_2_v2.jpeg,MP002XW0EUF8,Леггинсы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 68%, Полиэстер - 27%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EUF8_21618031_3_v2.jpeg,MP002XW0EUF8,Леггинсы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 68%, Полиэстер - 27%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EUF8_21618030_4_v2.jpeg,MP002XW0EUF8,Леггинсы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 68%, Полиэстер - 27%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EUF8_21618032_5_v2.jpeg,MP002XW0EUF8,Леггинсы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 68%, Полиэстер - 27%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17VBH_24776458_1_v1_2x.jpg,MP002XW17VBH,Леггинсы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,нет,Не указано,Не указано,"Вискоза - 68%, Нейлон - 27%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17VBH_24776459_2_v1_2x.jpg,MP002XW17VBH,Леггинсы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,нет,Не указано,Не указано,"Вискоза - 68%, Нейлон - 27%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17VBH_24776460_3_v1_2x.jpg,MP002XW17VBH,Леггинсы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,нет,Не указано,Не указано,"Вискоза - 68%, Нейлон - 27%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17VBH_24776461_4_v1_2x.jpg,MP002XW17VBH,Леггинсы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,нет,Не указано,Не указано,"Вискоза - 68%, Нейлон - 27%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IWCT_20613662_1_v2.jpeg,MP002XW0IWCT,Классические,мульти,серый,клетка,Не указано,трикотаж,стандартная,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть - 50%, Вискоза - 18%, Полиэстер - 30%, Спандекс - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IWCT_20613665_2_v2.jpeg,MP002XW0IWCT,Классические,мульти,серый,клетка,Не указано,трикотаж,стандартная,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть - 50%, Вискоза - 18%, Полиэстер - 30%, Спандекс - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IWCT_20613661_3_v2.jpeg,MP002XW0IWCT,Классические,мульти,серый,клетка,Не указано,трикотаж,стандартная,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть - 50%, Вискоза - 18%, Полиэстер - 30%, Спандекс - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IWCT_20613664_4_v2.jpeg,MP002XW0IWCT,Классические,мульти,серый,клетка,Не указано,трикотаж,стандартная,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть - 50%, Вискоза - 18%, Полиэстер - 30%, Спандекс - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IWCT_20613663_5_v2.jpeg,MP002XW0IWCT,Классические,мульти,серый,клетка,Не указано,трикотаж,стандартная,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть - 50%, Вискоза - 18%, Полиэстер - 30%, Спандекс - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IWCT_21532497_6_v1.jpeg,MP002XW0IWCT,Классические,мульти,серый,клетка,Не указано,трикотаж,стандартная,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть - 50%, Вискоза - 18%, Полиэстер - 30%, Спандекс - 2%"
