image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24045847_1_v3.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24045849_2_v4.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24045854_3_v4.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24336795_4_v2.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24336796_5_v2.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW03CCF_12340269_1_v2.jpeg,MP002XW03CCF,Широкие и расклешенные,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Шерсть - 32%, Вискоза - 37%, Полиэстер - 29%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW03CCF_12340268_2_v2.jpeg,MP002XW03CCF,Широкие и расклешенные,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Шерсть - 32%, Вискоза - 37%, Полиэстер - 29%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW03CCF_12340270_3_v2.jpeg,MP002XW03CCF,Широкие и расклешенные,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Шерсть - 32%, Вискоза - 37%, Полиэстер - 29%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW03CCF_12340267_4_v2.jpeg,MP002XW03CCF,Широкие и расклешенные,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Шерсть - 32%, Вискоза - 37%, Полиэстер - 29%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18F4H_25507366_1_v1_2x.jpg,MP002XW18F4H,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Полиэстер - 60%, Хлопок - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18F4H_25507367_2_v1_2x.jpg,MP002XW18F4H,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Полиэстер - 60%, Хлопок - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18F4H_25507368_3_v1_2x.jpg,MP002XW18F4H,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Полиэстер - 60%, Хлопок - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18F4H_25507369_4_v1_2x.jpg,MP002XW18F4H,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Полиэстер - 60%, Хлопок - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461308_1_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461309_2_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461310_3_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461311_4_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461312_5_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17NV4_24316244_1_v1_2x.jpg,MP002XW17NV4,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиакрил - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17NV4_24316245_2_v1_2x.jpg,MP002XW17NV4,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиакрил - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17NV4_24316246_3_v1_2x.jpg,MP002XW17NV4,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиакрил - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17NV4_24316247_4_v1_2x.jpg,MP002XW17NV4,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиакрил - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557207_1_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557209_2_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557210_3_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557212_4_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADE101902_24557214_5_v2_2x.jpg,RTLADE101902,Толстовки и свитшоты,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,да,Не указано,Не указано,Переработанный полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW185SE_24556969_1_v2_2x.jpg,MP002XW185SE,Джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW185SE_24556970_2_v2_2x.jpg,MP002XW185SE,Джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW185SE_24556971_3_v2_2x.jpg,MP002XW185SE,Джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW185SE_24556972_4_v2_2x.jpg,MP002XW185SE,Джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17TPB_24496631_1_v1_2x.jpg,MP002XW17TPB,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17TPB_24496632_2_v1_2x.jpg,MP002XW17TPB,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17TPB_24496633_3_v1_2x.jpg,MP002XW17TPB,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17TPB_24496634_4_v1_2x.jpg,MP002XW17TPB,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMI_24790343_1_v2.png,MP002XW0ZIMI,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMI_24790337_2_v2.png,MP002XW0ZIMI,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMI_24790348_3_v2.png,MP002XW0ZIMI,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMI_24790330_4_v2.png,MP002XW0ZIMI,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMI_24790352_5_v2.png,MP002XW0ZIMI,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMI_24790357_6_v2.png,MP002XW0ZIMI,Рубашки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA39_22796721_1_v1.jpeg,MP002XW0IA39,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,баз подкладки,"Хлопок- 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA39_22796722_2_v1.jpeg,MP002XW0IA39,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,баз подкладки,"Хлопок- 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA39_22796723_3_v1.jpeg,MP002XW0IA39,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,баз подкладки,"Хлопок- 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA39_22796724_4_v1.jpeg,MP002XW0IA39,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,баз подкладки,"Хлопок- 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA39_22796725_5_v1.jpeg,MP002XW0IA39,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,баз подкладки,"Хлопок- 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IA39_22796726_6_v1.jpeg,MP002XW0IA39,Спортивные,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,баз подкладки,"Хлопок- 80%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0K0K8_17750462_1_v1_2x.jpg,MP002XW0K0K8,Блузы с коротким рукавом,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0K0K8_17750463_2_v1_2x.jpg,MP002XW0K0K8,Блузы с коротким рукавом,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0K0K8_17750464_3_v1_2x.jpg,MP002XW0K0K8,Блузы с коротким рукавом,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0K0K8_17750465_4_v1_2x.jpg,MP002XW0K0K8,Блузы с коротким рукавом,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 70%, Полиэстер - 30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19YC1_21380544_1_v1.jpeg,MP002XW19YC1,Зауженные,мульти,черный,однотонный,Не указано,кожа/замша,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиуретан - 50%, Полиэстер - 45%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19YC1_21380548_2_v1.jpeg,MP002XW19YC1,Зауженные,мульти,черный,однотонный,Не указано,кожа/замша,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиуретан - 50%, Полиэстер - 45%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19YC1_21380551_3_v1.jpeg,MP002XW19YC1,Зауженные,мульти,черный,однотонный,Не указано,кожа/замша,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиуретан - 50%, Полиэстер - 45%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19YC1_21380558_4_v1.jpeg,MP002XW19YC1,Зауженные,мульти,черный,однотонный,Не указано,кожа/замша,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиуретан - 50%, Полиэстер - 45%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19YC1_21380553_5_v1.jpeg,MP002XW19YC1,Зауженные,мульти,черный,однотонный,Не указано,кожа/замша,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиуретан - 50%, Полиэстер - 45%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19YC1_21380561_6_v1.jpeg,MP002XW19YC1,Зауженные,мульти,черный,однотонный,Не указано,кожа/замша,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиуретан - 50%, Полиэстер - 45%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMJ_24790287_1_v1.png,MP002XW0ZIMJ,Блузы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMJ_24790296_2_v1.png,MP002XW0ZIMJ,Блузы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMJ_24790323_3_v1.png,MP002XW0ZIMJ,Блузы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMJ_24790303_4_v1.png,MP002XW0ZIMJ,Блузы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMJ_24790310_5_v1.png,MP002XW0ZIMJ,Блузы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZIMJ_24790315_6_v1.png,MP002XW0ZIMJ,Блузы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 35%, Полиэстер - 65%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZSRW_25153405_1_v1_2x.jpg,MP002XW0ZSRW,Пуловеры,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Вискоза - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZSRW_25153406_2_v1_2x.jpg,MP002XW0ZSRW,Пуловеры,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Вискоза - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZSRW_25153407_3_v1_2x.jpg,MP002XW0ZSRW,Пуловеры,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Вискоза - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZSRW_25153408_4_v1_2x.jpg,MP002XW0ZSRW,Пуловеры,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Вискоза - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0F4D8_18936794_1_v1.jpeg,MP002XW0F4D8,Блузы,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0F4D8_18936766_2_v1.jpeg,MP002XW0F4D8,Блузы,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0F4D8_18936768_3_v1.jpeg,MP002XW0F4D8,Блузы,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0F4D8_18936772_4_v1.jpeg,MP002XW0F4D8,Блузы,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0F4D8_18936770_5_v1.jpeg,MP002XW0F4D8,Блузы,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW10123_23876507_1_v2_2x.jpg,MP002XW10123,Прямые джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 68%, Полиэстер - 24%, Вискоза - 6%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW10123_23876508_2_v2_2x.jpg,MP002XW10123,Прямые джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 68%, Полиэстер - 24%, Вискоза - 6%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW10123_23876510_3_v2_2x.jpg,MP002XW10123,Прямые джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 68%, Полиэстер - 24%, Вискоза - 6%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW10123_23876512_4_v2_2x.jpg,MP002XW10123,Прямые джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 68%, Полиэстер - 24%, Вискоза - 6%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1COCX_20876993_1_v1.jpeg,MP002XW1COCX,Костюмы с брюками,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,"Вискоза - 35%, Полиэстер - 60%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1COCX_20876998_2_v1.jpeg,MP002XW1COCX,Костюмы с брюками,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,"Вискоза - 35%, Полиэстер - 60%, Эластан - 5%"
