image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW13EBW_25396696_1_v1_2x.jpg,MP002XW13EBW,Спортивные комбинезоны,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW13EBW_25396697_2_v1_2x.jpg,MP002XW13EBW,Спортивные комбинезоны,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW13EBW_25396698_3_v1_2x.jpg,MP002XW13EBW,Спортивные комбинезоны,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW13EBW_25396699_4_v1_2x.jpg,MP002XW13EBW,Спортивные комбинезоны,мульти,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0055E_23914454_1_v2_2x.jpeg,MP002XW0055E,Комбинезоны с шортами,мульти,белый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Лен - 23%, Вискоза - 42%, Терилен - 31%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0055E_23914444_2_v2_2x.jpeg,MP002XW0055E,Комбинезоны с шортами,мульти,белый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Лен - 23%, Вискоза - 42%, Терилен - 31%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0055E_23914469_3_v2_2x.jpeg,MP002XW0055E,Комбинезоны с шортами,мульти,белый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Лен - 23%, Вискоза - 42%, Терилен - 31%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0055E_23914438_4_v2_2x.jpeg,MP002XW0055E,Комбинезоны с шортами,мульти,белый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Лен - 23%, Вискоза - 42%, Терилен - 31%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0055E_23914479_5_v1_2x.jpeg,MP002XW0055E,Комбинезоны с шортами,мульти,белый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Лен - 23%, Вискоза - 42%, Терилен - 31%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0055E_23914441_6_v1_2x.jpeg,MP002XW0055E,Комбинезоны с шортами,мульти,белый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Лен - 23%, Вискоза - 42%, Терилен - 31%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0PB1S_22374688_1_v1_2x.jpg,MP002XW0PB1S,Комбинезоны с шортами,мульти,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0PB1S_22374689_2_v1_2x.jpg,MP002XW0PB1S,Комбинезоны с шортами,мульти,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0PB1S_22374690_3_v1_2x.jpg,MP002XW0PB1S,Комбинезоны с шортами,мульти,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%
