image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0BV9H_16475032_1_v1_2x.jpg,MP002XW0BV9H,Узкие джинсы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 98%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0BV9H_16475033_2_v1_2x.jpg,MP002XW0BV9H,Узкие джинсы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 98%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0BV9H_16475034_3_v1_2x.jpg,MP002XW0BV9H,Узкие джинсы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 98%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0BV9H_16475035_4_v1_2x.jpg,MP002XW0BV9H,Узкие джинсы,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 98%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/R/T/RTLADT359801_25457948_1_v1_2x.jpg,RTLADT359801,Джинсы-мом,мульти,черный,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADT359801_25457949_2_v1_2x.jpg,RTLADT359801,Джинсы-мом,мульти,черный,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW185SE_24556969_1_v2_2x.jpg,MP002XW185SE,Джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW185SE_24556970_2_v2_2x.jpg,MP002XW185SE,Джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW185SE_24556971_3_v2_2x.jpg,MP002XW185SE,Джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW185SE_24556972_4_v2_2x.jpg,MP002XW185SE,Джинсы,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BX7_24061098_1_v1.jpeg,MP002XW17BX7,Широкие джинсы,мульти,черный,однотонный,Не указано,деним,низкая,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 65%, Полиэстер - 25%, Вискоза - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BX7_24061126_2_v1.jpeg,MP002XW17BX7,Широкие джинсы,мульти,черный,однотонный,Не указано,деним,низкая,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 65%, Полиэстер - 25%, Вискоза - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BX7_24061109_3_v1.jpeg,MP002XW17BX7,Широкие джинсы,мульти,черный,однотонный,Не указано,деним,низкая,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 65%, Полиэстер - 25%, Вискоза - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BX7_24061102_4_v1.jpeg,MP002XW17BX7,Широкие джинсы,мульти,черный,однотонный,Не указано,деним,низкая,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 65%, Полиэстер - 25%, Вискоза - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BX7_24061117_5_v1.jpeg,MP002XW17BX7,Широкие джинсы,мульти,черный,однотонный,Не указано,деним,низкая,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 65%, Полиэстер - 25%, Вискоза - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BX7_24061113_6_v1.jpeg,MP002XW17BX7,Широкие джинсы,мульти,черный,однотонный,Не указано,деним,низкая,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 65%, Полиэстер - 25%, Вискоза - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17ZVE_24369214_1_v1.jpeg,MP002XW17ZVE,Широкие джинсы,мульти,синий,однотонный,Не указано,деним,высокая,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Хлопок - 92%, Полиэстер - 6%, Вискоза - 2%"
