image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XU0DGMB_23811878_1_v2_2x.jpg,MP002XU0DGMB,Махровые халаты,мульти,черный,Не указано,Не указано,махровая ткань,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XU0DGMB_23811879_2_v2_2x.jpg,MP002XU0DGMB,Махровые халаты,мульти,черный,Не указано,Не указано,махровая ткань,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XU0DGMB_23811880_3_v2_2x.jpg,MP002XU0DGMB,Махровые халаты,мульти,черный,Не указано,Не указано,махровая ткань,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XU0DGMB_23811881_4_v2_2x.jpg,MP002XU0DGMB,Махровые халаты,мульти,черный,Не указано,Не указано,махровая ткань,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0WJB0_23786015_1_v1.jpeg,MP002XW0WJB0,Домашняя одежда,мульти,красный,"однотонный, полоска",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Хлопок
https://a.lmcdn.ru/img600x866/M/P/MP002XW0WJB0_23786058_2_v1.jpeg,MP002XW0WJB0,Домашняя одежда,мульти,красный,"однотонный, полоска",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Хлопок
https://a.lmcdn.ru/img600x866/M/P/MP002XW0WJB0_23786042_3_v1.jpeg,MP002XW0WJB0,Домашняя одежда,мульти,красный,"однотонный, полоска",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Хлопок
https://a.lmcdn.ru/img600x866/M/P/MP002XW0WJB0_23785991_4_v1.jpeg,MP002XW0WJB0,Домашняя одежда,мульти,красный,"однотонный, полоска",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Хлопок
https://a.lmcdn.ru/img600x866/M/P/MP002XW0WJB0_23786028_5_v1.jpeg,MP002XW0WJB0,Домашняя одежда,мульти,красный,"однотонный, полоска",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Хлопок
https://a.lmcdn.ru/img600x866/M/P/MP002XW0WJB0_23786004_6_v1.jpeg,MP002XW0WJB0,Домашняя одежда,мульти,красный,"однотонный, полоска",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Хлопок
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461308_1_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461309_2_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461310_3_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461311_4_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QEKD_21461312_5_v2_2x.jpg,MP002XW0QEKD,Домашняя одежда,мульти,красный,клетка,Не указано,фланель,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CRCZ_25105347_1_v1.jpeg,MP002XW1CRCZ,Брюки и шорты,мульти,серый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"73% Вискоза, 23% Полиэстер, 4% Эластан"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CRCZ_25105344_2_v1.jpeg,MP002XW1CRCZ,Брюки и шорты,мульти,серый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"73% Вискоза, 23% Полиэстер, 4% Эластан"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZEJ6_24721990_1_v1.jpeg,MP002XW0ZEJ6,Пижамы с брюками,мульти,"белый, серый",Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Хлопок
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZEJ6_24721979_2_v1.jpeg,MP002XW0ZEJ6,Пижамы с брюками,мульти,"белый, серый",Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Хлопок
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZEJ6_24721974_3_v1.jpeg,MP002XW0ZEJ6,Пижамы с брюками,мульти,"белый, серый",Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Хлопок
