image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZO6I_24997043_1_v1_2x.jpg,MP002XW0ZO6I,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZO6I_24997044_2_v1_2x.jpg,MP002XW0ZO6I,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QX3F_24894041_1_v1_2x.jpg,MP002XW0QX3F,Лонгсливы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QX3F_24894046_2_v1_2x.jpg,MP002XW0QX3F,Лонгсливы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EBP7_11744186_1_v2.jpeg,MP002XW0EBP7,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Нейлон - 95%, Спандекс - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EBP7_11744221_2_v2.jpeg,MP002XW0EBP7,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Нейлон - 95%, Спандекс - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EBP7_11744199_3_v2.jpeg,MP002XW0EBP7,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Нейлон - 95%, Спандекс - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EBP7_11744248_4_v2.jpeg,MP002XW0EBP7,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Нейлон - 95%, Спандекс - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EBP7_11744264_5_v2.jpeg,MP002XW0EBP7,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Нейлон - 95%, Спандекс - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EBP7_19330557_6_v1.jpeg,MP002XW0EBP7,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Нейлон - 95%, Спандекс - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0GFZP_23443020_1_v1_2x.jpg,MP002XW0GFZP,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0GFZP_23443021_2_v1_2x.jpg,MP002XW0GFZP,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17M92_24304945_1_v1_2x.jpg,MP002XW17M92,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17M92_24304946_2_v1_2x.jpg,MP002XW17M92,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0FCVL_23969455_1_v2_2x.jpg,MP002XW0FCVL,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0FCVL_23969456_2_v2_2x.jpg,MP002XW0FCVL,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CLXO_20960129_1_v1_2x.jpg,MP002XW1CLXO,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CLXO_20960130_2_v1_2x.jpg,MP002XW1CLXO,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZP8O_24889511_1_v1_2x.jpeg,MP002XW0ZP8O,Футболки,мульти,белый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZP8O_24889516_2_v1_2x.jpeg,MP002XW0ZP8O,Футболки,мульти,белый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZP8O_24889519_3_v1_2x.jpeg,MP002XW0ZP8O,Футболки,мульти,белый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZP8O_24889521_4_v1_2x.jpeg,MP002XW0ZP8O,Футболки,мульти,белый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZP8O_24889523_5_v1_2x.jpeg,MP002XW0ZP8O,Футболки,мульти,белый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW01FHX_23179439_1_v1_2x.jpg,MP002XW01FHX,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW01FHX_23179440_2_v1_2x.jpg,MP002XW01FHX,Футболки,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADW150401_25074374_1_v1.jpg,RTLADW150401,Лонгсливы,мульти,белый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 96%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/R/T/RTLADW150401_25074375_2_v1.jpg,RTLADW150401,Лонгсливы,мульти,белый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 96%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/R/T/RTLADW150401_25074376_3_v1.jpg,RTLADW150401,Лонгсливы,мульти,белый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 96%, Эластан - 4%"
