image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CRIG_25108147_1_v1.jpeg,MP002XW1CRIG,Спортивные костюмы,мульти,синий,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CRIG_25108162_2_v1.jpeg,MP002XW1CRIG,Спортивные костюмы,мульти,синий,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CRIG_25108170_3_v1.jpeg,MP002XW1CRIG,Спортивные костюмы,мульти,синий,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CRIG_25108179_4_v1.jpeg,MP002XW1CRIG,Спортивные костюмы,мульти,синий,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CRIG_25108188_5_v1.jpeg,MP002XW1CRIG,Спортивные костюмы,мульти,синий,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CRIG_25108199_6_v1.jpeg,MP002XW1CRIG,Спортивные костюмы,мульти,синий,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW0M4NG_18602792_1_v2.jpeg,MP002XW0M4NG,Спортивные костюмы,мульти,фиолетовый,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,Без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0M4NG_18602793_2_v2.jpeg,MP002XW0M4NG,Спортивные костюмы,мульти,фиолетовый,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,Без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0M4NG_18602747_3_v2.jpeg,MP002XW0M4NG,Спортивные костюмы,мульти,фиолетовый,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,Без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0M4NG_18602748_4_v2.jpeg,MP002XW0M4NG,Спортивные костюмы,мульти,фиолетовый,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,Без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0M4NG_18602791_5_v2.jpeg,MP002XW0M4NG,Спортивные костюмы,мульти,фиолетовый,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,Без подкладки,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0M4NG_18602749_6_v2.jpeg,MP002XW0M4NG,Спортивные костюмы,мульти,фиолетовый,однотонный,Не указано,флис,Не указано,без застежки,Не указано,Не указано,Не указано,Без подкладки,Полиэстер - 100%
