image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW00CBW_23773600_1_v3_2x.jpg,MP002XW00CBW,Монокини,лето,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,"Полиамид - 85%, Эластан - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW00CBW_23773601_2_v3_2x.jpg,MP002XW00CBW,Монокини,лето,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,"Полиамид - 85%, Эластан - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW186A3_24685390_1_v2_2x.jpg,MP002XW186A3,Слитные купальники,мульти,Не указано,Не указано,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 82%, Спандекс - 18%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW186A3_24685391_2_v2_2x.jpg,MP002XW186A3,Слитные купальники,мульти,Не указано,Не указано,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 82%, Спандекс - 18%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW186A3_24685392_3_v2_2x.jpg,MP002XW186A3,Слитные купальники,мульти,Не указано,Не указано,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 82%, Спандекс - 18%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW186A3_24685393_4_v2_2x.jpg,MP002XW186A3,Слитные купальники,мульти,Не указано,Не указано,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 82%, Спандекс - 18%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951816_1_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951837_2_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951820_3_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951824_4_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951827_5_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951831_6_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17O8U_24396086_1_v2_2x.jpg,MP002XW17O8U,Слитные купальники,лето,Не указано,Не указано,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 80%, Эластан - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17O8U_24396087_2_v2_2x.jpg,MP002XW17O8U,Слитные купальники,лето,Не указано,Не указано,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 80%, Эластан - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0LXKM_18524589_1_v2.jpeg,MP002XW0LXKM,Купальники-бралетт,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Нейлон - 80%, Спандекс - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0LXKM_18524582_2_v3.jpeg,MP002XW0LXKM,Купальники-бралетт,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Нейлон - 80%, Спандекс - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0LXKM_18524586_3_v3.jpeg,MP002XW0LXKM,Купальники-бралетт,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Нейлон - 80%, Спандекс - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0LXKM_20132968_4_v1.jpeg,MP002XW0LXKM,Купальники-бралетт,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Нейлон - 80%, Спандекс - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0LXKM_20132969_5_v1.jpeg,MP002XW0LXKM,Купальники-бралетт,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Нейлон - 80%, Спандекс - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0LXKM_20132967_6_v1.jpeg,MP002XW0LXKM,Купальники-бралетт,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Нейлон - 80%, Спандекс - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17A4N_24035530_1_v1_2x.jpeg,MP002XW17A4N,Слитные купальники,мульти,розовый,рисунки и надписи,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17A4N_24035533_2_v1_2x.jpeg,MP002XW17A4N,Слитные купальники,мульти,розовый,рисунки и надписи,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17A4N_24035536_3_v1_2x.jpeg,MP002XW17A4N,Слитные купальники,мульти,розовый,рисунки и надписи,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17A4N_24035544_4_v1_2x.jpeg,MP002XW17A4N,Слитные купальники,мульти,розовый,рисунки и надписи,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17A4N_24035542_5_v1_2x.jpeg,MP002XW17A4N,Слитные купальники,мульти,розовый,рисунки и надписи,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 92%, Эластан - 8%"
