image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H7U_24638883_1_v1.jpg,MP002XW17H7U,Комплекты трусов,мульти,"коричневый, серый",однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Полиэстер - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H7U_24638884_2_v1.jpg,MP002XW17H7U,Комплекты трусов,мульти,"коричневый, серый",однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Полиэстер - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H7U_24728472_3_v1_2x.jpg,MP002XW17H7U,Комплекты трусов,мульти,"коричневый, серый",однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Полиэстер - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H7U_24728473_4_v1_2x.jpg,MP002XW17H7U,Комплекты трусов,мульти,"коричневый, серый",однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Полиэстер - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z8UZ_23125025_1_v2_2x.jpg,MP002XW0Z8UZ,Спортивные брюки,демисезон,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z8UZ_23125026_2_v2_2x.jpg,MP002XW0Z8UZ,Спортивные брюки,демисезон,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z8UZ_23125027_3_v2_2x.jpg,MP002XW0Z8UZ,Спортивные брюки,демисезон,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z8UZ_23125028_4_v2_2x.jpg,MP002XW0Z8UZ,Спортивные брюки,демисезон,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,да,Не указано,Не указано,"Хлопок - 92%, Эластан - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0LAZ7_18408379_1_v1_2x.jpg,MP002XW0LAZ7,Бюстгальтеры,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 92%, Лайкра - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0LAZ7_18408380_2_v1_2x.jpg,MP002XW0LAZ7,Бюстгальтеры,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 92%, Лайкра - 8%"
