image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24045847_1_v3.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24045849_2_v4.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24045854_3_v4.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24336795_4_v2.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BDQ_24336796_5_v2.jpeg,MP002XW17BDQ,Комплекты,мульти,зеленый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IDTA_25442790_1_v1_2x.jpg,MP002XW0IDTA,Шортики,мульти,серый,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IDTA_25442791_2_v1_2x.jpg,MP002XW0IDTA,Шортики,мульти,серый,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IQ28_25509929_1_v1_2x.jpg,MP002XW0IQ28,Бесшовные трусы,мульти,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%,"Полиамид - 74%, Эластан - 26%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0IQ28_25509930_2_v1_2x.jpg,MP002XW0IQ28,Бесшовные трусы,мульти,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%,"Полиамид - 74%, Эластан - 26%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18MQV_23330527_3_v2.jpeg,MP002XW18MQV,Бралетт,мульти,черный,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 75%, Эластан - 11%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18MQV_23330529_1_v2.jpeg,MP002XW18MQV,Бралетт,мульти,черный,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 75%, Эластан - 11%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18MQV_23330525_2_v2.jpeg,MP002XW18MQV,Бралетт,мульти,черный,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 75%, Эластан - 11%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18MQV_23330530_5_v2.jpeg,MP002XW18MQV,Бралетт,мульти,черный,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 75%, Эластан - 11%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1487Y_23820248_1_v1.jpeg,MP002XW1487Y,Бралетт,мульти,белый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 75%, Эластан - 11%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1487Y_23820250_2_v1.jpeg,MP002XW1487Y,Бралетт,мульти,белый,Не указано,Не указано,сетка,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 75%, Эластан - 11%, Вискоза - 11%, Полиэстер - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YM6Y_20925056_1_v1.jpeg,MP002XW0YM6Y,Нижнее белье,зима,серый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть мериноса 85%, Полиэстер 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YM6Y_20925065_2_v1.jpeg,MP002XW0YM6Y,Нижнее белье,зима,серый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть мериноса 85%, Полиэстер 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YM6Y_20925077_3_v1.jpeg,MP002XW0YM6Y,Нижнее белье,зима,серый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть мериноса 85%, Полиэстер 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YM6Y_20925071_4_v1.jpeg,MP002XW0YM6Y,Нижнее белье,зима,серый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть мериноса 85%, Полиэстер 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YM6Y_20925084_5_v1.jpeg,MP002XW0YM6Y,Нижнее белье,зима,серый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть мериноса 85%, Полиэстер 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YM6Y_20925095_6_v1.jpeg,MP002XW0YM6Y,Нижнее белье,зима,серый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Шерсть мериноса 85%, Полиэстер 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BE5_24045895_1_v2.jpeg,MP002XW17BE5,Комплекты,мульти,черный,Не указано,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BE5_24045898_2_v2.jpeg,MP002XW17BE5,Комплекты,мульти,черный,Не указано,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BE5_24045902_3_v2.jpeg,MP002XW17BE5,Комплекты,мульти,черный,Не указано,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BE5_24045905_4_v2.jpeg,MP002XW17BE5,Комплекты,мульти,черный,Не указано,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BE5_24829877_5_v1.jpeg,MP002XW17BE5,Комплекты,мульти,черный,Не указано,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17BE5_24829878_6_v1.jpeg,MP002XW17BE5,Комплекты,мульти,черный,Не указано,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Полиамид - 100%,"Полиамид - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ES7E_25233806_1_v1_2x.jpg,MP002XW0ES7E,Бесшовные,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 65%, Спандекс - 35%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ES7E_25233807_2_v1_2x.jpg,MP002XW0ES7E,Бесшовные,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 65%, Спандекс - 35%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z3CQ_10679971_1_v1_2x.jpg,MP002XW0Z3CQ,Боди,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 68%, Эластан - 24%, Хлопок - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z3CQ_10679972_2_v1_2x.jpg,MP002XW0Z3CQ,Боди,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 68%, Эластан - 24%, Хлопок - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z3CQ_10679973_3_v1_2x.jpg,MP002XW0Z3CQ,Боди,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 68%, Эластан - 24%, Хлопок - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z3CQ_10682280_9_v1.jpg,MP002XW0Z3CQ,Боди,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 68%, Эластан - 24%, Хлопок - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0FXCU_25306879_1_v1_2x.jpg,MP002XW0FXCU,Слипы,мульти,черный,цветочный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Полиамид - 8%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0FXCU_25306880_2_v1_2x.jpg,MP002XW0FXCU,Слипы,мульти,черный,цветочный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 86%, Полиамид - 8%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17QU8_24405448_1_v1_2x.jpg,MP002XW17QU8,Слипы,мульти,коричневый,горох,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 76%, Полиамид - 18%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17QU8_24405449_2_v1_2x.jpg,MP002XW17QU8,Слипы,мульти,коричневый,горох,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 76%, Полиамид - 18%, Эластан - 6%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZBYP_25052807_1_v2.jpg,MP002XW0ZBYP,Комплекты трусов,мульти,"синий, зеленый, черный",однотонный,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 77%, Эластан - 23%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZBYP_25052808_2_v2_2x.jpg,MP002XW0ZBYP,Комплекты трусов,мульти,"синий, зеленый, черный",однотонный,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 77%, Эластан - 23%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZBYP_25052809_3_v2_2x.jpg,MP002XW0ZBYP,Комплекты трусов,мульти,"синий, зеленый, черный",однотонный,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 77%, Эластан - 23%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0ZBYP_25052810_4_v2_2x.jpg,MP002XW0ZBYP,Комплекты трусов,мульти,"синий, зеленый, черный",однотонный,Не указано,бифлекс,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 77%, Эластан - 23%"
https://a.lmcdn.ru/img600x866/R/T/RTLADO299101_23667905_1_v1.jpg,RTLADO299101,Комплекты трусов,мульти,"белый, желтый, розовый","однотонный, цветочный",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADO299101_23667906_2_v1.jpg,RTLADO299101,Комплекты трусов,мульти,"белый, желтый, розовый","однотонный, цветочный",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADO299101_23667907_3_v1.jpg,RTLADO299101,Комплекты трусов,мульти,"белый, желтый, розовый","однотонный, цветочный",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADO299101_23667908_4_v1.jpg,RTLADO299101,Комплекты трусов,мульти,"белый, желтый, розовый","однотонный, цветочный",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADO299101_23667909_5_v1.jpg,RTLADO299101,Комплекты трусов,мульти,"белый, желтый, розовый","однотонный, цветочный",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADO299101_23667910_6_v1.jpg,RTLADO299101,Комплекты трусов,мульти,"белый, желтый, розовый","однотонный, цветочный",Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1C8VJ_25237660_1_v1_2x.jpg,MP002XW1C8VJ,Корректирующее,мульти,бежевый,однотонный,Не указано,микрофибра,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1C8VJ_25237661_2_v1_2x.jpg,MP002XW1C8VJ,Корректирующее,мульти,бежевый,однотонный,Не указано,микрофибра,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0BQBA_16472347_1_v1.jpg,MP002XW0BQBA,Комплекты трусов,мульти,"розовый, белый, черный",однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CHGZ_21894717_1_v1.jpg,MP002XW1CHGZ,Стринги,мульти,черный,однотонный,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1CHGZ_21894718_2_v1.jpg,MP002XW1CHGZ,Стринги,мульти,черный,однотонный,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z3CP_10677414_1_v1_2x.jpg,MP002XW0Z3CP,Боди,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 68%, Эластан - 24%, Хлопок - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Z3CP_10677415_2_v1_2x.jpg,MP002XW0Z3CP,Боди,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 68%, Эластан - 24%, Хлопок - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0PGS4_22386617_1_v1.jpeg,MP002XW0PGS4,Трусы-бразилиана,мульти,черный,цветочный,Не указано,гипюр/ажур,Не указано,Не указано,кружево,Не указано,Не указано,без подклада,"Полиамид - 91%, Эластан - 9%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0PGS4_22386619_2_v1.jpeg,MP002XW0PGS4,Трусы-бразилиана,мульти,черный,цветочный,Не указано,гипюр/ажур,Не указано,Не указано,кружево,Не указано,Не указано,без подклада,"Полиамид - 91%, Эластан - 9%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0PGS4_22386613_3_v1.jpeg,MP002XW0PGS4,Трусы-бразилиана,мульти,черный,цветочный,Не указано,гипюр/ажур,Не указано,Не указано,кружево,Не указано,Не указано,без подклада,"Полиамид - 91%, Эластан - 9%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0PGS4_22386605_4_v1.jpeg,MP002XW0PGS4,Трусы-бразилиана,мульти,черный,цветочный,Не указано,гипюр/ажур,Не указано,Не указано,кружево,Не указано,Не указано,без подклада,"Полиамид - 91%, Эластан - 9%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0PGS4_22386609_5_v1.jpeg,MP002XW0PGS4,Трусы-бразилиана,мульти,черный,цветочный,Не указано,гипюр/ажур,Не указано,Не указано,кружево,Не указано,Не указано,без подклада,"Полиамид - 91%, Эластан - 9%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17JJJ_24322332_1_v1_2x.jpg,MP002XW17JJJ,Бюстгальтеры,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17JJJ_24322333_2_v1_2x.jpg,MP002XW17JJJ,Бюстгальтеры,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW16AOQ_19768639_1_v1_2x.jpg,MP002XW16AOQ,Шортики,мульти,белый,однотонный,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 90%, Эластомер - 6%, Хлопок - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW16AOQ_19768640_2_v1_2x.jpg,MP002XW16AOQ,Шортики,мульти,белый,однотонный,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Нейлон - 90%, Эластомер - 6%, Хлопок - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EUIF_21629448_1_v1.jpeg,MP002XW0EUIF,Балконет,мульти,серый,леопардовый,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 82%, Полиэфир - 18%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EUIF_21629440_2_v1.jpeg,MP002XW0EUIF,Балконет,мульти,серый,леопардовый,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 82%, Полиэфир - 18%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EUIF_21629452_3_v1.jpeg,MP002XW0EUIF,Балконет,мульти,серый,леопардовый,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 82%, Полиэфир - 18%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0EUIF_21629445_4_v1.jpeg,MP002XW0EUIF,Балконет,мульти,серый,леопардовый,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 82%, Полиэфир - 18%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JL9K_20929466_1_v2_2x.jpg,MP002XW0JL9K,Бюстгальтеры,мульти,Не указано,Не указано,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0JL9K_20929467_2_v2_2x.jpg,MP002XW0JL9K,Бюстгальтеры,мульти,Не указано,Не указано,Не указано,гипюр/ажур,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW02CTX_25060868_1_v1_2x.jpg,MP002XW02CTX,Термобелье,мульти,черный,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW02CTX_25060869_2_v1_2x.jpg,MP002XW02CTX,Термобелье,мульти,черный,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW02CTX_25060870_3_v1_2x.jpg,MP002XW02CTX,Термобелье,мульти,черный,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW02CTX_25060871_4_v1_2x.jpg,MP002XW02CTX,Термобелье,мульти,черный,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0FDJ1_25368875_1_v1_2x.jpg,MP002XW0FDJ1,Слипы,мульти,фиолетовый,рисунки и надписи,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0FDJ1_25368876_2_v1_2x.jpg,MP002XW0FDJ1,Слипы,мульти,фиолетовый,рисунки и надписи,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 95%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0WKIF_20594077_1_v2.jpeg,MP002XW0WKIF,Нижнее белье,мульти,черный,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Мериносовая шерсть - 100%
