image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/R/T/RTLADL859601_24280470_1_v2_2x.jpg,RTLADL859601,Жакеты и пиджаки,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADL859601_24280471_2_v2_2x.jpg,RTLADL859601,Жакеты и пиджаки,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADL859601_24280472_3_v2_2x.jpg,RTLADL859601,Жакеты и пиджаки,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADL859601_24299532_4_v1_2x.jpg,RTLADL859601,Жакеты и пиджаки,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADL859601_24299533_5_v1_2x.jpg,RTLADL859601,Жакеты и пиджаки,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADL859601_24299529_13_v1_2x.jpg,RTLADL859601,Жакеты и пиджаки,мульти,Не указано,Не указано,Не указано,деним,Не указано,Не указано,Не указано,Не указано,2,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW00EA9_23672702_1_v1.jpeg,MP002XW00EA9,Жакеты и пиджаки,мульти,белый,однотонный,Не указано,текстиль,Не указано,кнопки,Не указано,Не указано,Не указано,"Полиэстер - 52%, Вискоза - 48%","Вискоза - 33%, Полиэстер - 62%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW00EA9_23672704_2_v1.jpeg,MP002XW00EA9,Жакеты и пиджаки,мульти,белый,однотонный,Не указано,текстиль,Не указано,кнопки,Не указано,Не указано,Не указано,"Полиэстер - 52%, Вискоза - 48%","Вискоза - 33%, Полиэстер - 62%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW00EA9_23672706_3_v1.jpeg,MP002XW00EA9,Жакеты и пиджаки,мульти,белый,однотонный,Не указано,текстиль,Не указано,кнопки,Не указано,Не указано,Не указано,"Полиэстер - 52%, Вискоза - 48%","Вискоза - 33%, Полиэстер - 62%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW00EA9_23672707_4_v1.jpeg,MP002XW00EA9,Жакеты и пиджаки,мульти,белый,однотонный,Не указано,текстиль,Не указано,кнопки,Не указано,Не указано,Не указано,"Полиэстер - 52%, Вискоза - 48%","Вискоза - 33%, Полиэстер - 62%, Эластан - 5%"
