image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW19ISW_22966346_1_v1.jpeg,MP002XW19ISW,Платья с запахом,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,63% Полиэстер; 35% Вискоза; 2% Эластан
https://a.lmcdn.ru/img600x866/M/P/MP002XW19ISW_22966338_2_v1.jpeg,MP002XW19ISW,Платья с запахом,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,63% Полиэстер; 35% Вискоза; 2% Эластан
https://a.lmcdn.ru/img600x866/M/P/MP002XW19ISW_22966355_3_v1.jpeg,MP002XW19ISW,Платья с запахом,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,63% Полиэстер; 35% Вискоза; 2% Эластан
https://a.lmcdn.ru/img600x866/M/P/MP002XW19ISW_22966359_4_v1.jpeg,MP002XW19ISW,Платья с запахом,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,63% Полиэстер; 35% Вискоза; 2% Эластан
https://a.lmcdn.ru/img600x866/M/P/MP002XW19ISW_22966364_5_v1.jpeg,MP002XW19ISW,Платья с запахом,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,63% Полиэстер; 35% Вискоза; 2% Эластан
https://a.lmcdn.ru/img600x866/M/P/MP002XW19ISW_22966369_6_v1.jpeg,MP002XW19ISW,Платья с запахом,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,63% Полиэстер; 35% Вискоза; 2% Эластан
https://a.lmcdn.ru/img600x866/M/P/MP002XW18G4A_24573341_1_v1.jpeg,MP002XW18G4A,Повседневные платья,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 95%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18G4A_24573351_2_v1.jpeg,MP002XW18G4A,Повседневные платья,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 95%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18G4A_24573369_3_v1.jpeg,MP002XW18G4A,Повседневные платья,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 95%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18G4A_24573362_4_v1.jpeg,MP002XW18G4A,Повседневные платья,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 95%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18G4A_24573375_5_v1.jpeg,MP002XW18G4A,Повседневные платья,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 95%, Лайкра - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YOUC_20950268_1_v1.jpeg,MP002XW0YOUC,Повседневные платья,мульти,синий,однотонный,Не указано,трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Вискоза 55%, Полиэстер 45%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YOUC_20950265_2_v1.jpeg,MP002XW0YOUC,Повседневные платья,мульти,синий,однотонный,Не указано,трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Вискоза 55%, Полиэстер 45%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YOUC_20950271_3_v1.jpeg,MP002XW0YOUC,Повседневные платья,мульти,синий,однотонный,Не указано,трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Вискоза 55%, Полиэстер 45%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YOUC_20950274_4_v1.jpeg,MP002XW0YOUC,Повседневные платья,мульти,синий,однотонный,Не указано,трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Вискоза 55%, Полиэстер 45%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YOUC_20950277_5_v1.jpeg,MP002XW0YOUC,Повседневные платья,мульти,синий,однотонный,Не указано,трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Вискоза 55%, Полиэстер 45%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0YOUC_20950280_6_v1.jpeg,MP002XW0YOUC,Повседневные платья,мульти,синий,однотонный,Не указано,трикотаж,Не указано,без застежки,Не указано,Не указано,Не указано,без подкладки,"Вискоза 55%, Полиэстер 45%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0MVMR_22975643_1_v1_2x.jpg,MP002XW0MVMR,Повседневные платья,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0MVMR_22975644_2_v1_2x.jpg,MP002XW0MVMR,Повседневные платья,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0MVMR_22975645_3_v1_2x.jpg,MP002XW0MVMR,Повседневные платья,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0MVMR_22975646_4_v1_2x.jpg,MP002XW0MVMR,Повседневные платья,мульти,Не указано,Не указано,Не указано,атлас/сатин,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NVQL_25151104_1_v1_2x.jpg,MP002XW0NVQL,Трикотажные платья,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Пан - 80%, Шерсть - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NVQL_25151105_2_v1_2x.jpg,MP002XW0NVQL,Трикотажные платья,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Пан - 80%, Шерсть - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NVQL_25151106_3_v1_2x.jpg,MP002XW0NVQL,Трикотажные платья,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Пан - 80%, Шерсть - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NVQL_25151107_4_v1_2x.jpg,MP002XW0NVQL,Трикотажные платья,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Пан - 80%, Шерсть - 20%"
