image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0E7HH_20487071_1_v2_2x.jpg,MP002XW0E7HH,Платья и туники,мульти,черный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Рами - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0E7HH_20487072_2_v2_2x.jpg,MP002XW0E7HH,Платья и туники,мульти,черный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Рами - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0E7HH_20487073_3_v2_2x.jpg,MP002XW0E7HH,Платья и туники,мульти,черный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Рами - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0E7HH_20487074_4_v2_2x.jpg,MP002XW0E7HH,Платья и туники,мульти,черный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Рами - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951816_1_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951837_2_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951820_3_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951824_4_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951827_5_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW17372_23951831_6_v2_2x.jpeg,MP002XW17372,Купальники,лето,белый,другое,Не указано,текстиль,Не указано,Не указано,вышивка,Не указано,Не указано,без подкладки,100% Вискоза
https://a.lmcdn.ru/img600x866/M/P/MP002XW1764Y_23980086_1_v1_2x.jpeg,MP002XW1764Y,Платья-рубашки,лето,белый,Не указано,Не указано,муслин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1764Y_23980081_2_v1_2x.jpeg,MP002XW1764Y,Платья-рубашки,лето,белый,Не указано,Не указано,муслин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1764Y_23980097_3_v1_2x.jpeg,MP002XW1764Y,Платья-рубашки,лето,белый,Не указано,Не указано,муслин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1764Y_23980089_4_v1_2x.jpeg,MP002XW1764Y,Платья-рубашки,лето,белый,Не указано,Не указано,муслин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1764Y_23980093_5_v1_2x.jpeg,MP002XW1764Y,Платья-рубашки,лето,белый,Не указано,Не указано,муслин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1764Y_23980102_6_v1_2x.jpeg,MP002XW1764Y,Платья-рубашки,лето,белый,Не указано,Не указано,муслин,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW14YS9_23310414_1_v1_2x.jpg,MP002XW14YS9,Платья и туники,лето,розовый,полоска,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW14YS9_23310415_2_v1_2x.jpg,MP002XW14YS9,Платья и туники,лето,розовый,полоска,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW14YS9_23310416_3_v1_2x.jpg,MP002XW14YS9,Платья и туники,лето,розовый,полоска,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW14YS9_23310417_4_v1_2x.jpg,MP002XW14YS9,Платья и туники,лето,розовый,полоска,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0OGIM_21490901_1_v1_2x.jpg,MP002XW0OGIM,Пляжная одежда,лето,коричневый,рисунки и надписи,Не указано,Не указано,Не указано,Не указано,вышивка,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0OGIM_21490902_2_v1_2x.jpg,MP002XW0OGIM,Пляжная одежда,лето,коричневый,рисунки и надписи,Не указано,Не указано,Не указано,Не указано,вышивка,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0OGIM_21490903_3_v1_2x.jpg,MP002XW0OGIM,Пляжная одежда,лето,коричневый,рисунки и надписи,Не указано,Не указано,Не указано,Не указано,вышивка,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW0OGIM_21490904_4_v1_2x.jpg,MP002XW0OGIM,Пляжная одежда,лето,коричневый,рисунки и надписи,Не указано,Не указано,Не указано,Не указано,вышивка,Не указано,Не указано,Не указано,Вискоза - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17L0B_24217140_1_v1.jpeg,MP002XW17L0B,Платья и туники,лето,белый,цветочный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Вискоза - 97%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17L0B_24217144_2_v1.jpeg,MP002XW17L0B,Платья и туники,лето,белый,цветочный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Вискоза - 97%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17L0B_24217151_3_v1.jpeg,MP002XW17L0B,Платья и туники,лето,белый,цветочный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Вискоза - 97%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17L0B_24217158_4_v1.jpeg,MP002XW17L0B,Платья и туники,лето,белый,цветочный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Вискоза - 97%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17L0B_24217162_5_v1.jpeg,MP002XW17L0B,Платья и туники,лето,белый,цветочный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Вискоза - 97%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17L0B_24217170_6_v1.jpeg,MP002XW17L0B,Платья и туники,лето,белый,цветочный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Без подкладки,"Вискоза - 97%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW14YS6_23310410_1_v1_2x.jpg,MP002XW14YS6,Платья и туники,лето,синий,полоска,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW14YS6_23310411_2_v1_2x.jpg,MP002XW14YS6,Платья и туники,лето,синий,полоска,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW14YS6_23310412_3_v1_2x.jpg,MP002XW14YS6,Платья и туники,лето,синий,полоска,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW14YS6_23310413_4_v1_2x.jpg,MP002XW14YS6,Платья и туники,лето,синий,полоска,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW00CGL_23838558_1_v5_2x.jpg,MP002XW00CGL,Платья и туники,лето,мультиколор,цветочный,Не указано,шелк,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Вискоза - 100%
