image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NPQS_23619981_1_v1_2x.jpg,MP002XW0NPQS,Шорты,лето,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NPQS_23619982_2_v1_2x.jpg,MP002XW0NPQS,Шорты,лето,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NPQS_23619983_3_v1_2x.jpg,MP002XW0NPQS,Шорты,лето,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0NPQS_23619984_4_v1_2x.jpg,MP002XW0NPQS,Шорты,лето,Не указано,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 40%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H0G_24125020_1_v1_2x.jpeg,MP002XW17H0G,Карго,лето,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H0G_24125024_2_v1_2x.jpeg,MP002XW17H0G,Карго,лето,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H0G_24125023_3_v1_2x.jpeg,MP002XW17H0G,Карго,лето,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H0G_24125022_4_v1_2x.jpeg,MP002XW17H0G,Карго,лето,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H0G_24125025_5_v1_2x.jpeg,MP002XW17H0G,Карго,лето,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW17H0G_24125026_6_v1_2x.jpeg,MP002XW17H0G,Карго,лето,черный,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
https://a.lmcdn.ru/img600x866/R/T/RTLADN380101_25013137_1_v1_2x.jpg,RTLADN380101,Шорты,лето,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/R/T/RTLADN380101_25013140_2_v1_2x.jpg,RTLADN380101,Шорты,лето,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/R/T/RTLADN380101_25013141_3_v1_2x.jpg,RTLADN380101,Шорты,лето,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/R/T/RTLADN380101_25013144_4_v1_2x.jpg,RTLADN380101,Шорты,лето,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 88%, Эластан - 12%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17A1H_24034519_1_v1_2x.jpeg,MP002XW17A1H,Повседневные шорты,лето,голубой,Не указано,Не указано,толстовочный трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,Хлопок - 100%
