image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17JX5_24201882_1_v1.jpeg,MP002XW17JX5,Топы свободного кроя,мульти,серый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер 97%, Эластан 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17JX5_24201869_2_v1.jpeg,MP002XW17JX5,Топы свободного кроя,мульти,серый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер 97%, Эластан 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17JX5_24201866_3_v1.jpeg,MP002XW17JX5,Топы свободного кроя,мульти,серый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер 97%, Эластан 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17JX5_24201874_4_v1.jpeg,MP002XW17JX5,Топы свободного кроя,мульти,серый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер 97%, Эластан 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW17JX5_24201878_5_v1.jpeg,MP002XW17JX5,Топы свободного кроя,мульти,серый,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер 97%, Эластан 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0K4CZ_17773322_1_v1_2x.jpg,MP002XW0K4CZ,Майки,мульти,фиолетовый,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 92%, Лайкра - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0K4CZ_17773323_2_v1_2x.jpg,MP002XW0K4CZ,Майки,мульти,фиолетовый,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 92%, Лайкра - 8%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1EWEB_25169593_1_v1_2x.jpeg,MP002XW1EWEB,Вязаные топы,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза-70%, Полиамид-30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1EWEB_25169580_2_v1_2x.jpeg,MP002XW1EWEB,Вязаные топы,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза-70%, Полиамид-30%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1EWEB_25169588_3_v1_2x.jpeg,MP002XW1EWEB,Вязаные топы,мульти,бежевый,однотонный,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза-70%, Полиамид-30%"
