image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1F2MD_22939475_1_v2.jpeg,MP002XW1F2MD,Кардиганы,мульти,белый,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок 40%, Вискоза 40%, Полиамид 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1F2MD_22939480_2_v2.jpeg,MP002XW1F2MD,Кардиганы,мульти,белый,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок 40%, Вискоза 40%, Полиамид 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1F2MD_22939476_3_v2.jpeg,MP002XW1F2MD,Кардиганы,мульти,белый,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок 40%, Вискоза 40%, Полиамид 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1F2MD_22939477_4_v2.jpeg,MP002XW1F2MD,Кардиганы,мульти,белый,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок 40%, Вискоза 40%, Полиамид 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1F2MD_22939478_5_v2.jpeg,MP002XW1F2MD,Кардиганы,мульти,белый,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок 40%, Вискоза 40%, Полиамид 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QCCZ_19342121_1_v1_2x.jpg,MP002XW0QCCZ,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 50%, Полиамид - 28%, Нейлон - 22%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QCCZ_19342122_2_v1_2x.jpg,MP002XW0QCCZ,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 50%, Полиамид - 28%, Нейлон - 22%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QCCZ_19342123_3_v1_2x.jpg,MP002XW0QCCZ,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 50%, Полиамид - 28%, Нейлон - 22%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0QCCZ_19342124_4_v1_2x.jpg,MP002XW0QCCZ,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 50%, Полиамид - 28%, Нейлон - 22%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0OZVY_22488274_1_v1_2x.jpg,MP002XW0OZVY,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 37%, Полиэстер - 36%, Мохер - 27%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0OZVY_22488275_2_v1_2x.jpg,MP002XW0OZVY,Джемперы,мульти,Не указано,Не указано,Не указано,трикотаж,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 37%, Полиэстер - 36%, Мохер - 27%"
