image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Y9Q2_18945828_1_v1_2x.jpg,MP002XW0Y9Q2,Пальто,демисезон,Не указано,Не указано,Не указано,драп,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,"Шерсть - 70%, Полиэстер - 15%, Вискоза - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Y9Q2_18945829_2_v1_2x.jpg,MP002XW0Y9Q2,Пальто,демисезон,Не указано,Не указано,Не указано,драп,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,"Шерсть - 70%, Полиэстер - 15%, Вискоза - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Y9Q2_18945830_3_v1_2x.jpg,MP002XW0Y9Q2,Пальто,демисезон,Не указано,Не указано,Не указано,драп,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,"Шерсть - 70%, Полиэстер - 15%, Вискоза - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Y9Q2_18945831_4_v1_2x.jpg,MP002XW0Y9Q2,Пальто,демисезон,Не указано,Не указано,Не указано,драп,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,"Шерсть - 70%, Полиэстер - 15%, Вискоза - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0Y9Q2_18945832_5_v1_2x.jpg,MP002XW0Y9Q2,Пальто,демисезон,Не указано,Не указано,Не указано,драп,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,"Шерсть - 70%, Полиэстер - 15%, Вискоза - 15%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW16GHW_23347894_1_v1.jpeg,MP002XW16GHW,Утепленные жилеты,демисезон,синий,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW16GHW_23347898_2_v1.jpeg,MP002XW16GHW,Утепленные жилеты,демисезон,синий,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW16GHW_23347905_3_v1.jpeg,MP002XW16GHW,Утепленные жилеты,демисезон,синий,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW16GHW_23347909_4_v1.jpeg,MP002XW16GHW,Утепленные жилеты,демисезон,синий,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW16GHW_23347914_5_v1.jpeg,MP002XW16GHW,Утепленные жилеты,демисезон,синий,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,Полиэстер - 100%
