image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW00HAC_23736272_1_v1.jpeg,MP002XW00HAC,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW00HAC_23736268_2_v1.jpeg,MP002XW00HAC,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW00HAC_23736279_3_v1.jpeg,MP002XW00HAC,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW00HAC_23736282_4_v1.jpeg,MP002XW00HAC,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW00HAC_23736286_5_v1.jpeg,MP002XW00HAC,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW00HAC_23736291_6_v1.jpeg,MP002XW00HAC,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,100% Полиэстер
https://a.lmcdn.ru/img600x866/M/P/MP002XW1BU2B_25452729_1_v1.jpeg,MP002XW1BU2B,Плиссированные юбки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 80%, Вискоза - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1BU2B_25452742_2_v1.jpeg,MP002XW1BU2B,Плиссированные юбки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 80%, Вискоза - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1BU2B_25452752_3_v1.jpeg,MP002XW1BU2B,Плиссированные юбки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 80%, Вискоза - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1BU2B_25452758_4_v1.jpeg,MP002XW1BU2B,Плиссированные юбки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 80%, Вискоза - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1BU2B_25452767_5_v1.jpeg,MP002XW1BU2B,Плиссированные юбки,мульти,Не указано,Не указано,Не указано,текстиль,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиэстер - 80%, Вискоза - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW1873P_24719765_1_v1_2x.jpg,MP002XW1873P,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,букле/твид,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1873P_24719766_2_v1_2x.jpg,MP002XW1873P,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,букле/твид,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1873P_24719767_3_v1_2x.jpg,MP002XW1873P,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,букле/твид,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,Полиэстер - 100%
https://a.lmcdn.ru/img600x866/M/P/MP002XW1873P_24719768_4_v1_2x.jpg,MP002XW1873P,Юбки-трапеции и широкие,мульти,Не указано,Не указано,Не указано,букле/твид,Не указано,Не указано,Не указано,Не указано,Не указано,Полиэстер - 100%,Полиэстер - 100%
