image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/R/T/RTLADY036901_25519764_1_v1_2x.jpg,RTLADY036901,Костюмы с юбкой,"демисезон, зима",Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 40%, Вискоза - 40%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/R/T/RTLADY036901_25519765_2_v1_2x.jpg,RTLADY036901,Костюмы с юбкой,"демисезон, зима",Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 40%, Вискоза - 40%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/R/T/RTLADY036901_25519766_3_v1_2x.jpg,RTLADY036901,Костюмы с юбкой,"демисезон, зима",Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 40%, Вискоза - 40%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/R/T/RTLADY036901_25519767_4_v1_2x.jpg,RTLADY036901,Костюмы с юбкой,"демисезон, зима",Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 40%, Вискоза - 40%, Полиэстер - 20%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18DR7_24678523_1_v1_2x.jpg,MP002XW18DR7,Пиджаки и костюмы,мульти,серый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 30%, Пан - 70%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18DR7_24678524_2_v1_2x.jpg,MP002XW18DR7,Пиджаки и костюмы,мульти,серый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 30%, Пан - 70%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18DR7_24678525_3_v1_2x.jpg,MP002XW18DR7,Пиджаки и костюмы,мульти,серый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 30%, Пан - 70%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18DR7_24678526_4_v1_2x.jpg,MP002XW18DR7,Пиджаки и костюмы,мульти,серый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 30%, Пан - 70%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18DR7_24678527_5_v1_2x.jpg,MP002XW18DR7,Пиджаки и костюмы,мульти,серый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Шерсть - 30%, Пан - 70%"
https://a.lmcdn.ru/img600x866/R/T/RTLADC567901_21601534_1_v1_2x.jpg,RTLADC567901,Костюмы с брюками,"демисезон, зима",розовый,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 40%, Полиэстер - 35%, Хлопок - 20%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADC567901_21601535_2_v1_2x.jpg,RTLADC567901,Костюмы с брюками,"демисезон, зима",розовый,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 40%, Полиэстер - 35%, Хлопок - 20%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADC567901_21601536_3_v1_2x.jpg,RTLADC567901,Костюмы с брюками,"демисезон, зима",розовый,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 40%, Полиэстер - 35%, Хлопок - 20%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADC567901_21601537_4_v1_2x.jpg,RTLADC567901,Костюмы с брюками,"демисезон, зима",розовый,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 40%, Полиэстер - 35%, Хлопок - 20%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/R/T/RTLADC567901_21601538_5_v1_2x.jpg,RTLADC567901,Костюмы с брюками,"демисезон, зима",розовый,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Вискоза - 40%, Полиэстер - 35%, Хлопок - 20%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KE8U_17808786_1_v2.jpg,MP002XW0KE8U,Костюмы с брюками,мульти,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 45%, Нейлон - 40%, Ангора - 11%, Шерсть - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KE8U_17808788_2_v2.jpg,MP002XW0KE8U,Костюмы с брюками,мульти,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 45%, Нейлон - 40%, Ангора - 11%, Шерсть - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KE8U_17808790_3_v2.jpg,MP002XW0KE8U,Костюмы с брюками,мульти,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 45%, Нейлон - 40%, Ангора - 11%, Шерсть - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KE8U_17808792_4_v2.jpg,MP002XW0KE8U,Костюмы с брюками,мульти,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 45%, Нейлон - 40%, Ангора - 11%, Шерсть - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KE8U_17808794_5_v2.jpg,MP002XW0KE8U,Костюмы с брюками,мульти,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 45%, Нейлон - 40%, Ангора - 11%, Шерсть - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0KE8U_17808796_6_v2.jpg,MP002XW0KE8U,Костюмы с брюками,мульти,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Вискоза - 45%, Нейлон - 40%, Ангора - 11%, Шерсть - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180WN_24584323_1_v1_2x.jpg,MP002XW180WN,Костюмы с юбкой,"демисезон, зима",белый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Акрил - 50%, Шерсть - 40%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180WN_24584324_2_v1_2x.jpg,MP002XW180WN,Костюмы с юбкой,"демисезон, зима",белый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Акрил - 50%, Шерсть - 40%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180WN_24584325_3_v1_2x.jpg,MP002XW180WN,Костюмы с юбкой,"демисезон, зима",белый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Акрил - 50%, Шерсть - 40%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180WN_24584326_4_v1_2x.jpg,MP002XW180WN,Костюмы с юбкой,"демисезон, зима",белый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Акрил - 50%, Шерсть - 40%, Эластан - 10%"
