image_url,id,Категория,Сезон,Цвет,Узор,Фасон,Тип ткани,Посадка,Застежка,Детали,Флисовая подкладка,Внешние карманы,"Материал подкладки, %","Состав, %"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180GE_24424134_1_v1.jpg,MP002XW180GE,Носки,мульти,черный,геометрия,Не указано,Не указано,Не указано,Не указано,вышивка,Не указано,Не указано,Не указано,"Хлопок - 65%, Полиамид - 30%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW180GE_24424136_2_v1.jpg,MP002XW180GE,Носки,мульти,черный,геометрия,Не указано,Не указано,Не указано,Не указано,вышивка,Не указано,Не указано,Не указано,"Хлопок - 65%, Полиамид - 30%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0S2AZ_10868370_1_v1.jpeg,MP002XW0S2AZ,Колготки,мульти,коричневый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0S2AZ_10868372_2_v1.jpeg,MP002XW0S2AZ,Колготки,мульти,коричневый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Полиамид - 90%, Эластан - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XU00Q6D_19627778_1_v1.jpeg,MP002XU00Q6D,Носки и гетры,мульти,белый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиамид - 15%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XU00Q6D_19627780_2_v1.jpeg,MP002XU00Q6D,Носки и гетры,мульти,белый,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,без подкладки,"Хлопок - 80%, Полиамид - 15%, Эластан - 5%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0L79G_18354582_1_v1.jpg,MP002XW0L79G,Носки,мульти,черный,полоска,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 80%, Полиамид - 18%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0L79G_18354583_2_v1.jpg,MP002XW0L79G,Носки,мульти,черный,полоска,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 80%, Полиамид - 18%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18FYK_24822547_1_v1_2x.jpg,MP002XW18FYK,Колготки,мульти,черный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 90%, Спандекс - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW18FYK_24822548_2_v1_2x.jpg,MP002XW18FYK,Колготки,мульти,черный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Полиэстер - 90%, Спандекс - 10%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW15LXG_17328229_1_v2.jpg,MP002XW15LXG,Носки,мульти,"бежевый, коричневый",однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 64%, Полиамид - 33%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW15LXG_17328230_2_v2.jpg,MP002XW15LXG,Носки,мульти,"бежевый, коричневый",однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 64%, Полиамид - 33%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW15LXG_17328231_3_v2.jpg,MP002XW15LXG,Носки,мульти,"бежевый, коричневый",однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 64%, Полиамид - 33%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW15LXG_17328232_4_v2.jpg,MP002XW15LXG,Носки,мульти,"бежевый, коричневый",однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 64%, Полиамид - 33%, Эластан - 3%"
https://a.lmcdn.ru/img600x866/M/P/MP002XU0D3L5_22105592_1_v1.jpg,MP002XU0D3L5,Носки и гетры,мульти,черный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 36%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XU0D3L5_22105593_2_v1.jpg,MP002XU0D3L5,Носки и гетры,мульти,черный,однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 60%, Полиэстер - 36%, Эластан - 4%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW02CTM_25051160_1_v1.jpg,MP002XW02CTM,Гольфы и гетры,мульти,черный,полоска,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 75%, Полиамид - 23%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW02CTM_25051161_2_v1.jpg,MP002XW02CTM,Гольфы и гетры,мульти,черный,полоска,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 75%, Полиамид - 23%, Эластан - 2%"
https://a.lmcdn.ru/img600x866/M/P/MP002XW0D9VU_23966885_1_v1.jpg,MP002XW0D9VU,Носки,мульти,"белый, коричневый, серый, фиолетовый",однотонный,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,Не указано,"Хлопок - 71%, Полиэстер - 25%, Эластан - 4%"
