image_path,Сезон,Материал подошвы,Материал верха,Цвет,Страна производства
images_shoes\image_0_RTLABC796406_22491410_1_v1.jpg,мульти,резина,кожа,черный,
images_shoes\image_1_RTLABC796406_22491411_2_v1.jpg,мульти,резина,кожа,черный,
images_shoes\image_2_RTLABC796406_22491412_3_v1.jpg,мульти,резина,кожа,черный,
images_shoes\image_3_RTLABC796406_22491413_4_v1.jpg,мульти,резина,кожа,черный,
images_shoes\image_4_RTLABC796406_22491414_5_v1.jpg,мульти,резина,кожа,черный,
images_shoes\image_0_RTLADP482301_24358559_1_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_1_RTLADP482301_24358560_2_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_2_RTLADP482301_24358561_3_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_3_RTLADP482301_24358562_4_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_4_RTLADP482301_24358563_5_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_0_RTLADS341501_24462094_1_v1.jpg,зима,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_1_RTLADS341501_24462095_2_v1.jpg,зима,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_2_RTLADS341501_24462096_3_v1.jpg,зима,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_3_RTLADS341501_24462097_4_v1.jpg,зима,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_4_RTLADS341501_24462098_5_v1.jpg,зима,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_0_MP002XM1UA0F_21129250_1_v2.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_1_MP002XM1UA0F_21129251_2_v2.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_2_MP002XM1UA0F_21129253_3_v2.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_3_MP002XM1UA0F_21129254_4_v2.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_4_MP002XM1UA0F_21129255_5_v2.jpg,мульти,резина,натуральная кожа,коричневый,
images_shoes\image_0_RTLADG263201_23167799_1_v2.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_1_RTLADG263201_23167800_2_v2.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_2_RTLADG263201_23167801_3_v2.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_3_RTLADG263201_23167802_4_v2.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_4_RTLADG263201_23167803_5_v2.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_0_RTLADO562201_24515058_1_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_1_RTLADO562201_24515059_2_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_2_RTLADO562201_24515060_3_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_3_RTLADO562201_24515061_4_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_4_RTLADO562201_24515062_5_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_0_MP002XM1UAH8_20937354_1_v2_2x.jpg,зима,резина,натуральная кожа,черный,
images_shoes\image_1_MP002XM1UAH8_20937339_2_v2_2x.jpg,зима,резина,натуральная кожа,черный,
images_shoes\image_2_MP002XM1UAH8_20937349_3_v2_2x.jpg,зима,резина,натуральная кожа,черный,
images_shoes\image_3_MP002XM1UAH8_20937368_4_v2_2x.jpg,зима,резина,натуральная кожа,черный,
images_shoes\image_4_MP002XM1UAH8_20937360_5_v2_2x.jpg,зима,резина,натуральная кожа,черный,
images_shoes\image_5_MP002XM1UAH8_20937365_6_v2_2x.jpg,зима,резина,натуральная кожа,черный,
images_shoes\image_0_MP002XM0B4YE_21091187_1_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_1_MP002XM0B4YE_21091188_2_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_2_MP002XM0B4YE_21091189_3_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_3_MP002XM0B4YE_21091190_4_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_4_MP002XM0B4YE_21091191_5_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_0_RTLACU842402_21494122_1_v1.jpg,мульти,резина,"натуральная кожа, полимер, текстиль",синий,
images_shoes\image_1_RTLACU842402_21494123_2_v1.jpg,мульти,резина,"натуральная кожа, полимер, текстиль",синий,
images_shoes\image_2_RTLACU842402_21494124_3_v1.jpg,мульти,резина,"натуральная кожа, полимер, текстиль",синий,
images_shoes\image_3_RTLACU842402_21494125_4_v1.jpg,мульти,резина,"натуральная кожа, полимер, текстиль",синий,
images_shoes\image_4_RTLACU842402_21494126_5_v1.jpg,мульти,резина,"натуральная кожа, полимер, текстиль",синий,
images_shoes\image_0_RTLADE010201_22102940_1_v1.jpg,мульти,резина,"полимер, текстиль",черный,
images_shoes\image_1_RTLADE010201_22102941_2_v1.jpg,мульти,резина,"полимер, текстиль",черный,
images_shoes\image_2_RTLADE010201_22102942_3_v1.jpg,мульти,резина,"полимер, текстиль",черный,
images_shoes\image_3_RTLADE010201_22102943_4_v1.jpg,мульти,резина,"полимер, текстиль",черный,
images_shoes\image_4_RTLADE010201_22102944_5_v1.jpg,мульти,резина,"полимер, текстиль",черный,
images_shoes\image_0_RTLABC795905_23523882_1_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_1_RTLABC795905_23523883_2_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_2_RTLABC795905_23523884_3_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_3_RTLABC795905_23523885_4_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_4_RTLABC795905_23523886_5_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,
images_shoes\image_0_RTLADL068102_23698878_1_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_1_RTLADL068102_23698879_2_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_2_RTLADL068102_23698880_3_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_3_RTLADL068102_23698881_4_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_4_RTLADL068102_23698882_5_v1.jpg,мульти,резина,"натуральная кожа, текстиль",черный,
images_shoes\image_0_RTLADL945102_23549407_1_v1.jpg,мульти,резина,"натуральная кожа, текстиль",серый,
images_shoes\image_1_RTLADL945102_23549408_2_v1.jpg,мульти,резина,"натуральная кожа, текстиль",серый,
images_shoes\image_2_RTLADL945102_23549409_3_v1.jpg,мульти,резина,"натуральная кожа, текстиль",серый,
images_shoes\image_3_RTLADL945102_23549410_4_v1.jpg,мульти,резина,"натуральная кожа, текстиль",серый,
images_shoes\image_4_RTLADL945102_23549411_5_v2.jpg,мульти,резина,"натуральная кожа, текстиль",серый,
images_shoes\image_0_MP002XM0AZ33_20534866_1_v2_2x.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_1_MP002XM0AZ33_20534874_2_v2_2x.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_2_MP002XM0AZ33_20534878_3_v2_2x.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_3_MP002XM0AZ33_20534884_4_v2_2x.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_4_MP002XM0AZ33_20534890_5_v2_2x.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_5_MP002XM0AZ33_20534897_6_v2_2x.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_0_RTLADM982801_23954793_1_v1.jpg,мульти,резина,"натуральная замша, текстиль",бежевый,
images_shoes\image_1_RTLADM982801_23954794_2_v1.jpg,мульти,резина,"натуральная замша, текстиль",бежевый,
images_shoes\image_2_RTLADM982801_23954795_3_v1.jpg,мульти,резина,"натуральная замша, текстиль",бежевый,
images_shoes\image_3_RTLADM982801_23954796_4_v1.jpg,мульти,резина,"натуральная замша, текстиль",бежевый,
images_shoes\image_4_RTLADM982801_23954797_5_v1.jpg,мульти,резина,"натуральная замша, текстиль",бежевый,
images_shoes\image_0_MP002XM046YA_20449103_1_v3_2x.jpeg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_1_MP002XM046YA_20449108_2_v3_2x.jpeg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_2_MP002XM046YA_20449111_3_v3_2x.jpeg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_3_MP002XM046YA_20449115_4_v3_2x.jpeg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_4_MP002XM046YA_20449119_5_v3_2x.jpeg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_5_MP002XM046YA_20449124_6_v3_2x.jpeg,мульти,этиленвинилацетат,натуральная кожа,коричневый,
images_shoes\image_0_MP002XM1ZWEG_19559461_1_v1.jpeg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",синий,
images_shoes\image_1_MP002XM1ZWEG_19559469_2_v1.jpeg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",синий,
images_shoes\image_2_MP002XM1ZWEG_19559451_3_v1.jpeg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",синий,
images_shoes\image_3_MP002XM1ZWEG_19559478_4_v1.jpeg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",синий,
images_shoes\image_4_MP002XM1ZWEG_19559473_5_v1.jpeg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",синий,
images_shoes\image_5_MP002XM1ZWEG_19559482_6_v1.jpeg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",синий,
images_shoes\image_0_RTLADL307801_23078738_1_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_1_RTLADL307801_23078739_2_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_2_RTLADL307801_23078740_3_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_3_RTLADL307801_23078741_4_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_4_RTLADL307801_23078742_5_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_0_MP002XM0BKTQ_24541080_1_v1.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_1_MP002XM0BKTQ_24541081_2_v1.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_2_MP002XM0BKTQ_24541082_3_v1.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_3_MP002XM0BKTQ_24541083_4_v1.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_4_MP002XM0BKTQ_24541084_5_v1.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_0_RTLADH986801_22527354_1_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_1_RTLADH986801_22527355_2_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_2_RTLADH986801_22527356_3_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_3_RTLADH986801_22527357_4_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_4_RTLADH986801_22527358_5_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_0_RTLACY311002_22082363_1_v1.jpg,мульти,резина,"текстиль, искусственная кожа",черный,
images_shoes\image_1_RTLACY311002_22082364_2_v1.jpg,мульти,резина,"текстиль, искусственная кожа",черный,
images_shoes\image_2_RTLACY311002_22082365_3_v1.jpg,мульти,резина,"текстиль, искусственная кожа",черный,
images_shoes\image_3_RTLACY311002_22082366_4_v1.jpg,мульти,резина,"текстиль, искусственная кожа",черный,
images_shoes\image_4_RTLACY311002_22082367_5_v1.jpg,мульти,резина,"текстиль, искусственная кожа",черный,
images_shoes\image_0_MP002XM1HVQ7_15965344_1_v1.jpg,зима,термоэластопласт,натуральная кожа,коричневый,
images_shoes\image_1_MP002XM1HVQ7_15965345_2_v1.jpg,зима,термоэластопласт,натуральная кожа,коричневый,
