image_path,Сезон,Материал подошвы,Материал верха,Цвет,Категория
default-men_sabo_shoes\image_0_RTLADJ242701_23791388_1_v2.jpg,лето,резина,натуральная кожа,черный,Мюли
default-men_sabo_shoes\image_1_RTLADJ242701_23791389_2_v2.jpg,лето,резина,натуральная кожа,черный,Мюли
default-men_sabo_shoes\image_2_RTLADJ242701_23791390_3_v2.jpg,лето,резина,натуральная кожа,черный,Мюли
default-men_sabo_shoes\image_3_RTLADJ242701_23791391_4_v2.jpg,лето,резина,натуральная кожа,черный,Мюли
default-men_sabo_shoes\image_4_RTLADJ242701_23791392_5_v2.jpg,лето,резина,натуральная кожа,черный,Мюли
default-men_sabo_shoes\image_5_RTLADJ242701_23968974_9_v2_2x.jpg,лето,резина,натуральная кожа,черный,Мюли
default-men_sabo_shoes\image_0_MP002XM00CVN_23245352_1_v1.jpg,мульти,этиленвинилацетат,"текстиль, термополиуретан",черный,Сабо
default-men_sabo_shoes\image_1_MP002XM00CVN_23245353_2_v1.jpg,мульти,этиленвинилацетат,"текстиль, термополиуретан",черный,Сабо
default-men_sabo_shoes\image_2_MP002XM00CVN_23245354_3_v1.jpg,мульти,этиленвинилацетат,"текстиль, термополиуретан",черный,Сабо
default-men_sabo_shoes\image_3_MP002XM00CVN_23245355_4_v1.jpg,мульти,этиленвинилацетат,"текстиль, термополиуретан",черный,Сабо
default-men_sabo_shoes\image_4_MP002XM00CVN_23245356_5_v1.jpg,мульти,этиленвинилацетат,"текстиль, термополиуретан",черный,Сабо
default-men_sabo_shoes\image_0_MP002XM1HAF7_13672435_1_v2.jpg,лето,этиленвинилацетат,искусственная кожа,черный,Сабо
default-men_sabo_shoes\image_1_MP002XM1HAF7_13672436_2_v1.jpg,лето,этиленвинилацетат,искусственная кожа,черный,Сабо
default-men_sabo_shoes\image_2_MP002XM1HAF7_13672437_3_v1.jpg,лето,этиленвинилацетат,искусственная кожа,черный,Сабо
default-men_sabo_shoes\image_3_MP002XM1HAF7_13672438_4_v1.jpg,лето,этиленвинилацетат,искусственная кожа,черный,Сабо
default-men_sabo_shoes\image_4_MP002XM1HAF7_13672439_5_v1.jpg,лето,этиленвинилацетат,искусственная кожа,черный,Сабо
default-men_sabo_shoes\image_0_MP002XM08DQ7_17293290_1_v3.jpg,лето,этиленвинилацетат,натуральная кожа,синий,Сабо
default-men_sabo_shoes\image_1_MP002XM08DQ7_17293291_2_v2.jpg,лето,этиленвинилацетат,натуральная кожа,синий,Сабо
default-men_sabo_shoes\image_2_MP002XM08DQ7_17293292_3_v2.jpg,лето,этиленвинилацетат,натуральная кожа,синий,Сабо
default-men_sabo_shoes\image_3_MP002XM08DQ7_17293293_4_v2.jpg,лето,этиленвинилацетат,натуральная кожа,синий,Сабо
default-men_sabo_shoes\image_4_MP002XM08DQ7_17293294_5_v2.jpg,лето,этиленвинилацетат,натуральная кожа,синий,Сабо
default-men_sabo_shoes\image_0_MP002XM1HAF6_13672430_1_v2.jpg,лето,этиленвинилацетат,искусственная кожа,белый,Сабо
default-men_sabo_shoes\image_1_MP002XM1HAF6_13672431_2_v1.jpg,лето,этиленвинилацетат,искусственная кожа,белый,Сабо
default-men_sabo_shoes\image_2_MP002XM1HAF6_13672432_3_v1.jpg,лето,этиленвинилацетат,искусственная кожа,белый,Сабо
default-men_sabo_shoes\image_3_MP002XM1HAF6_13672433_4_v1.jpg,лето,этиленвинилацетат,искусственная кожа,белый,Сабо
default-men_sabo_shoes\image_4_MP002XM1HAF6_13672434_5_v1.jpg,лето,этиленвинилацетат,искусственная кожа,белый,Сабо
default-men_sabo_shoes\image_0_MP002XM08KV4_18221812_1_v2.jpg,мульти,пробка,войлок,черный,Сабо
default-men_sabo_shoes\image_1_MP002XM08KV4_18221813_2_v2.jpg,мульти,пробка,войлок,черный,Сабо
default-men_sabo_shoes\image_2_MP002XM08KV4_18221814_3_v2.jpg,мульти,пробка,войлок,черный,Сабо
default-men_sabo_shoes\image_3_MP002XM08KV4_18221815_4_v2.jpg,мульти,пробка,войлок,черный,Сабо
default-men_sabo_shoes\image_4_MP002XM08KV4_18221816_5_v2.jpg,мульти,пробка,войлок,черный,Сабо
default-men_sabo_shoes\image_0_RTLADO018701_23783307_1_v2.jpg,лето,этиленвинилацетат,искусственная кожа,коричневый,Сабо
default-men_sabo_shoes\image_1_RTLADO018701_23783308_2_v2.jpg,лето,этиленвинилацетат,искусственная кожа,коричневый,Сабо
default-men_sabo_shoes\image_2_RTLADO018701_23783309_3_v2.jpg,лето,этиленвинилацетат,искусственная кожа,коричневый,Сабо
default-men_sabo_shoes\image_3_RTLADO018701_23783310_4_v2.jpg,лето,этиленвинилацетат,искусственная кожа,коричневый,Сабо
default-men_sabo_shoes\image_4_RTLADO018701_23783311_5_v2.jpg,лето,этиленвинилацетат,искусственная кожа,коричневый,Сабо
default-men_sabo_shoes\image_0_MP002XM00CVI_23342979_1_v1.jpg,лето,этиленвинилацетат,"текстиль, термополиуретан",синий,Сабо
default-men_sabo_shoes\image_1_MP002XM00CVI_23342980_2_v1.jpg,лето,этиленвинилацетат,"текстиль, термополиуретан",синий,Сабо
default-men_sabo_shoes\image_2_MP002XM00CVI_23342981_3_v1.jpg,лето,этиленвинилацетат,"текстиль, термополиуретан",синий,Сабо
default-men_sabo_shoes\image_3_MP002XM00CVI_23342982_4_v1.jpg,лето,этиленвинилацетат,"текстиль, термополиуретан",синий,Сабо
default-men_sabo_shoes\image_4_MP002XM00CVI_23342983_5_v1.jpg,лето,этиленвинилацетат,"текстиль, термополиуретан",синий,Сабо
default-men_sabo_shoes\image_0_MP002XM0B6JF_23897053_1_v1.jpg,лето,этиленвинилацетат,натуральная замша,хаки,Сабо
default-men_sabo_shoes\image_1_MP002XM0B6JF_23897054_2_v1.jpg,лето,этиленвинилацетат,натуральная замша,хаки,Сабо
default-men_sabo_shoes\image_2_MP002XM0B6JF_23897055_3_v1.jpg,лето,этиленвинилацетат,натуральная замша,хаки,Сабо
default-men_sabo_shoes\image_3_MP002XM0B6JF_23897056_4_v1.jpg,лето,этиленвинилацетат,натуральная замша,хаки,Сабо
default-men_sabo_shoes\image_4_MP002XM0B6JF_23897057_5_v1.jpg,лето,этиленвинилацетат,натуральная замша,хаки,Сабо
default-men_sabo_shoes\image_0_MP002XM0BM7O_24603079_1_v1.jpg,мульти,полимер,полимер,серый,Акваобувь
default-men_sabo_shoes\image_1_MP002XM0BM7O_24603085_2_v1.jpg,мульти,полимер,полимер,серый,Акваобувь
default-men_sabo_shoes\image_2_MP002XM0BM7O_24603088_3_v1.jpg,мульти,полимер,полимер,серый,Акваобувь
default-men_sabo_shoes\image_3_MP002XM0BM7O_24603093_4_v1.jpg,мульти,полимер,полимер,серый,Акваобувь
default-men_sabo_shoes\image_4_MP002XM0BM7O_24603096_5_v1.jpg,мульти,полимер,полимер,серый,Акваобувь
default-men_sabo_shoes\image_0_MP002XM0N1Z1_20192288_1_v1.jpg,лето,этиленвинилацетат,натуральная кожа,черный,Сабо
default-men_sabo_shoes\image_1_MP002XM0N1Z1_20192289_2_v1.jpg,лето,этиленвинилацетат,натуральная кожа,черный,Сабо
default-men_sabo_shoes\image_2_MP002XM0N1Z1_20192290_3_v1.jpg,лето,этиленвинилацетат,натуральная кожа,черный,Сабо
default-men_sabo_shoes\image_3_MP002XM0N1Z1_20192291_4_v1.jpg,лето,этиленвинилацетат,натуральная кожа,черный,Сабо
