image_path,Сезон,Материал подошвы,Материал верха,Цвет,Категория
shoes-domashnaja-obuv\image_0_MP002XM0BDS5_24663509_1_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_1_MP002XM0BDS5_24663510_2_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_2_MP002XM0BDS5_24663511_3_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_3_MP002XM0BDS5_24663512_4_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_4_MP002XM0BDS5_24663513_5_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_0_MP002XM0BGI6_24895671_1_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_1_MP002XM0BGI6_24895672_2_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_2_MP002XM0BGI6_24895673_3_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_3_MP002XM0BGI6_24895674_4_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_4_MP002XM0BGI6_24895675_5_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_0_MP002XM0BGL7_24895676_1_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_1_MP002XM0BGL7_24895677_2_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_2_MP002XM0BGL7_24895678_3_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_3_MP002XM0BGL7_24895679_4_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_4_MP002XM0BGL7_24895680_5_v1.jpg,мульти,искусственный материал,полиэстер,серый,Домашняя обувь
shoes-domashnaja-obuv\image_0_MP002XM0B49K_20846834_1_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_1_MP002XM0B49K_20846835_2_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_2_MP002XM0B49K_20846836_3_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_3_MP002XM0B49K_20846837_4_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_4_MP002XM0B49K_20846838_5_v1.jpg,мульти,термопластичная резина,текстиль,серый,Домашняя обувь
shoes-domashnaja-obuv\image_0_MP002XM0BJND_24723586_1_v1.jpg,мульти,полиуретан,текстиль,черный,Домашняя обувь
shoes-domashnaja-obuv\image_1_MP002XM0BJND_24723587_2_v1.jpg,мульти,полиуретан,текстиль,черный,Домашняя обувь
shoes-domashnaja-obuv\image_2_MP002XM0BJND_24723588_3_v1.jpg,мульти,полиуретан,текстиль,черный,Домашняя обувь
shoes-domashnaja-obuv\image_3_MP002XM0BJND_24723589_4_v1.jpg,мульти,полиуретан,текстиль,черный,Домашняя обувь
shoes-domashnaja-obuv\image_4_MP002XM0BJND_24723590_5_v1.jpg,мульти,полиуретан,текстиль,черный,Домашняя обувь
shoes-domashnaja-obuv\image_0_MP002XM248JE_8181062_1_v3.jpg,мульти,не указан,шерсть,коричневый,Домашняя обувь
shoes-domashnaja-obuv\image_1_MP002XM248JE_8181066_2_v3.jpg,мульти,не указан,шерсть,коричневый,Домашняя обувь
shoes-domashnaja-obuv\image_0_MP002XM0BE6S_24211933_1_v1.jpeg,мульти,термопластичная резина,"искусственный нубук, текстиль",черный,Домашняя обувь
