image_path,Сезон,Материал подошвы,Материал верха,Цвет,Категория
shoes-krossovk-kedy-muzhskie\image_0_RTLADJ530801_23118293_1_v1.jpg,мульти,резина,полимер,белый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_1_RTLADJ530801_23118294_2_v1.jpg,мульти,резина,полимер,белый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_2_RTLADJ530801_23118295_3_v1.jpg,мульти,резина,полимер,белый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_3_RTLADJ530801_23118296_4_v1.jpg,мульти,резина,полимер,белый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_4_RTLADJ530801_23118297_5_v1.jpg,мульти,резина,полимер,белый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_0_MP002XM0BHO1_24396706_1_v1.jpg,мульти,полиуретан,натуральная кожа,синий,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_1_MP002XM0BHO1_24396707_2_v1.jpg,мульти,полиуретан,натуральная кожа,синий,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_2_MP002XM0BHO1_24396708_3_v1.jpg,мульти,полиуретан,натуральная кожа,синий,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_3_MP002XM0BHO1_24396709_4_v1.jpg,мульти,полиуретан,натуральная кожа,синий,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_4_MP002XM0BHO1_24396710_5_v1.jpg,мульти,полиуретан,натуральная кожа,синий,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_0_MP002XM0BD31_24186660_1_v1.jpg,мульти,"полиуретан, резина",натуральная кожа,серый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_1_MP002XM0BD31_24186661_2_v1.jpg,мульти,"полиуретан, резина",натуральная кожа,серый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_2_MP002XM0BD31_24186662_3_v1.jpg,мульти,"полиуретан, резина",натуральная кожа,серый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_3_MP002XM0BD31_24186663_4_v1.jpg,мульти,"полиуретан, резина",натуральная кожа,серый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_4_MP002XM0BD31_24186664_5_v1.jpg,мульти,"полиуретан, резина",натуральная кожа,серый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_0_RTLABC796406_22491410_1_v1.jpg,мульти,резина,кожа,черный,Низкие кроссовки
shoes-krossovk-kedy-muzhskie\image_1_RTLABC796406_22491411_2_v1.jpg,мульти,резина,кожа,черный,Низкие кроссовки
shoes-krossovk-kedy-muzhskie\image_2_RTLABC796406_22491412_3_v1.jpg,мульти,резина,кожа,черный,Низкие кроссовки
shoes-krossovk-kedy-muzhskie\image_3_RTLABC796406_22491413_4_v1.jpg,мульти,резина,кожа,черный,Низкие кроссовки
shoes-krossovk-kedy-muzhskie\image_4_RTLABC796406_22491414_5_v1.jpg,мульти,резина,кожа,черный,Низкие кроссовки
shoes-krossovk-kedy-muzhskie\image_0_RTLADP199601_24358787_1_v1.jpg,демисезон,резина,полимер,черный,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_1_RTLADP199601_24358788_2_v1.jpg,демисезон,резина,полимер,черный,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_2_RTLADP199601_24358789_3_v1.jpg,демисезон,резина,полимер,черный,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_3_RTLADP199601_24358790_4_v1.jpg,демисезон,резина,полимер,черный,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_4_RTLADP199601_24358791_5_v1.jpg,демисезон,резина,полимер,черный,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_0_RTLACU395703_24184985_1_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_1_RTLACU395703_24184986_2_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,Низкие кеды
shoes-krossovk-kedy-muzhskie\image_2_RTLACU395703_24184987_3_v1.jpg,мульти,резина,"искусственная кожа, натуральная кожа",белый,Низкие кеды
