image_path,Сезон,Материал подошвы,Материал верха,Цвет,Категория
shoes-muzhskaia-rezin-obuv\image_0_MP002XM1I6TN_17628991_1_v1.jpg,мульти,этиленвинилацетат,полимер,желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_1_MP002XM1I6TN_17628992_2_v1.jpg,мульти,этиленвинилацетат,полимер,желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_2_MP002XM1I6TN_17628993_3_v1.jpg,мульти,этиленвинилацетат,полимер,желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_3_MP002XM1I6TN_17628994_4_v1.jpg,мульти,этиленвинилацетат,полимер,желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_4_MP002XM1I6TN_17628995_5_v1.jpg,мульти,этиленвинилацетат,полимер,желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_5_MP002XM1I6TN_17628996_6_v1.jpg,мульти,этиленвинилацетат,полимер,желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_0_RTLADS008001_24325898_1_v1.jpg,мульти,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_1_RTLADS008001_24325899_2_v1.jpg,мульти,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_2_RTLADS008001_24325900_3_v1.jpg,мульти,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_3_RTLADS008001_24325901_4_v1.jpg,мульти,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_4_RTLADS008001_24325902_5_v1.jpg,мульти,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_0_RTLADR623401_24291127_1_v1.jpg,мульти,этиленвинилацетат,полимер,белый,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_1_RTLADR623401_24291128_2_v1.jpg,мульти,этиленвинилацетат,полимер,белый,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_2_RTLADR623401_24291129_3_v1.jpg,мульти,этиленвинилацетат,полимер,белый,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_3_RTLADR623401_24291130_4_v1.jpg,мульти,этиленвинилацетат,полимер,белый,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_4_RTLADR623401_24291131_5_v1.jpg,мульти,этиленвинилацетат,полимер,белый,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_0_MP002XM08SBC_18187023_1_v1.jpg,демисезон,этиленвинилацетат,"полимер, текстиль",желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_1_MP002XM08SBC_18187024_2_v1.jpg,демисезон,этиленвинилацетат,"полимер, текстиль",желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_2_MP002XM08SBC_18187025_3_v1.jpg,демисезон,этиленвинилацетат,"полимер, текстиль",желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_3_MP002XM08SBC_18187026_4_v1.jpg,демисезон,этиленвинилацетат,"полимер, текстиль",желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_4_MP002XM08SBC_18187027_5_v1.jpg,демисезон,этиленвинилацетат,"полимер, текстиль",желтый,Полусапоги
shoes-muzhskaia-rezin-obuv\image_0_MP002XM1I6TP_17630058_1_v1.jpg,мульти,этиленвинилацетат,полимер,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_1_MP002XM1I6TP_17630059_2_v1.jpg,мульти,этиленвинилацетат,полимер,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_2_MP002XM1I6TP_17630060_3_v1.jpg,мульти,этиленвинилацетат,полимер,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_3_MP002XM1I6TP_17630061_4_v1.jpg,мульти,этиленвинилацетат,полимер,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_4_MP002XM1I6TP_17630062_5_v1.jpg,мульти,этиленвинилацетат,полимер,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_5_MP002XM1I6TP_17630063_6_v1.jpg,мульти,этиленвинилацетат,полимер,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_0_MP002XM0BUZW_25204394_1_v2.jpg,демисезон,этиленвинилацетат,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_1_MP002XM0BUZW_25204395_2_v2.jpg,демисезон,этиленвинилацетат,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_2_MP002XM0BUZW_25204396_3_v2.jpg,демисезон,этиленвинилацетат,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_3_MP002XM0BUZW_25204397_4_v2.jpg,демисезон,этиленвинилацетат,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_4_MP002XM0BUZW_25204398_5_v2.jpg,демисезон,этиленвинилацетат,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_0_MP002XM2559J_21472419_1_v1.jpg,демисезон,этиленвинилацетат,полимер,белый,Сапоги
shoes-muzhskaia-rezin-obuv\image_1_MP002XM2559J_21472420_2_v1.jpg,демисезон,этиленвинилацетат,полимер,белый,Сапоги
shoes-muzhskaia-rezin-obuv\image_2_MP002XM2559J_21472421_3_v1.jpg,демисезон,этиленвинилацетат,полимер,белый,Сапоги
shoes-muzhskaia-rezin-obuv\image_3_MP002XM2559J_21472422_4_v1.jpg,демисезон,этиленвинилацетат,полимер,белый,Сапоги
shoes-muzhskaia-rezin-obuv\image_4_MP002XM2559J_21472423_5_v1.jpg,демисезон,этиленвинилацетат,полимер,белый,Сапоги
shoes-muzhskaia-rezin-obuv\image_0_RTLADG645501_23968965_1_v1.jpg,лето,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_1_RTLADG645501_23968966_2_v1.jpg,лето,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_2_RTLADG645501_23968967_3_v1.jpg,лето,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_3_RTLADG645501_23968968_4_v1.jpg,лето,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_4_RTLADG645501_23968969_5_v1.jpg,лето,полимер,полимер,черный,Резиновая обувь
shoes-muzhskaia-rezin-obuv\image_0_MP002XM0BUZT_25204388_1_v2.jpg,демисезон,этиленвинилацетат,"текстиль, резина",черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_1_MP002XM0BUZT_25204389_2_v2.jpg,демисезон,этиленвинилацетат,"текстиль, резина",черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_2_MP002XM0BUZT_25204390_3_v2.jpg,демисезон,этиленвинилацетат,"текстиль, резина",черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_3_MP002XM0BUZT_25204391_4_v2.jpg,демисезон,этиленвинилацетат,"текстиль, резина",черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_4_MP002XM0BUZT_25204392_5_v2.jpg,демисезон,этиленвинилацетат,"текстиль, резина",черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_5_MP002XM0BUZT_25204393_6_v2.jpg,демисезон,этиленвинилацетат,"текстиль, резина",черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_0_MP002XM1ZVU3_19009170_1_v2.jpg,лето,этиленвинилацетат,полимер,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_1_MP002XM1ZVU3_19009176_2_v4.jpeg,лето,этиленвинилацетат,полимер,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_2_MP002XM1ZVU3_19009179_3_v4.jpeg,лето,этиленвинилацетат,полимер,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_3_MP002XM1ZVU3_19009174_4_v4.jpeg,лето,этиленвинилацетат,полимер,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_4_MP002XM1ZVU3_19009173_5_v4.jpeg,лето,этиленвинилацетат,полимер,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_5_MP002XM1ZVU3_22124956_6_v2.jpeg,лето,этиленвинилацетат,полимер,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_0_MP002XM006NU_22471761_1_v2.jpg,демисезон,ПВХ,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_1_MP002XM006NU_22471797_2_v2.jpg,демисезон,ПВХ,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_2_MP002XM006NU_22471789_3_v2.jpg,демисезон,ПВХ,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_3_MP002XM006NU_22471770_4_v2.jpg,демисезон,ПВХ,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_4_MP002XM006NU_22471754_5_v2.jpg,демисезон,ПВХ,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_5_MP002XM006NU_22471781_6_v2.jpg,демисезон,ПВХ,ПВХ,черный,Полусапоги
shoes-muzhskaia-rezin-obuv\image_0_RTLADK895501_23573235_1_v1.jpg,лето,этиленвинилацетат,искусственный материал,черный,Сабо
shoes-muzhskaia-rezin-obuv\image_1_RTLADK895501_23573236_2_v1.jpg,лето,этиленвинилацетат,искусственный материал,черный,Сабо
shoes-muzhskaia-rezin-obuv\image_2_RTLADK895501_23573237_3_v1.jpg,лето,этиленвинилацетат,искусственный материал,черный,Сабо
shoes-muzhskaia-rezin-obuv\image_3_RTLADK895501_23573238_4_v1.jpg,лето,этиленвинилацетат,искусственный материал,черный,Сабо
shoes-muzhskaia-rezin-obuv\image_4_RTLADK895501_23573239_5_v1.jpg,лето,этиленвинилацетат,искусственный материал,черный,Сабо
shoes-muzhskaia-rezin-obuv\image_5_RTLADK895501_23968987_9_v2_2x.jpg,лето,этиленвинилацетат,искусственный материал,черный,Сабо
shoes-muzhskaia-rezin-obuv\image_0_RTLADK894301_23559514_1_v2.jpg,мульти,этиленвинилацетат,полимер,бежевый,Сланцы
shoes-muzhskaia-rezin-obuv\image_1_RTLADK894301_23559515_2_v2.jpg,мульти,этиленвинилацетат,полимер,бежевый,Сланцы
shoes-muzhskaia-rezin-obuv\image_2_RTLADK894301_23559516_3_v2.jpg,мульти,этиленвинилацетат,полимер,бежевый,Сланцы
shoes-muzhskaia-rezin-obuv\image_3_RTLADK894301_23559517_4_v2.jpg,мульти,этиленвинилацетат,полимер,бежевый,Сланцы
shoes-muzhskaia-rezin-obuv\image_4_RTLADK894301_23559518_5_v2.jpg,мульти,этиленвинилацетат,полимер,бежевый,Сланцы
shoes-muzhskaia-rezin-obuv\image_5_RTLADK894301_23968983_9_v2_2x.jpg,мульти,этиленвинилацетат,полимер,бежевый,Сланцы
shoes-muzhskaia-rezin-obuv\image_0_MP002XM0BUZZ_25158869_1_v1.jpg,демисезон,этиленвинилацетат,полимер,хаки,Полусапоги
shoes-muzhskaia-rezin-obuv\image_1_MP002XM0BUZZ_25158870_2_v1.jpg,демисезон,этиленвинилацетат,полимер,хаки,Полусапоги
shoes-muzhskaia-rezin-obuv\image_2_MP002XM0BUZZ_25158871_3_v1.jpg,демисезон,этиленвинилацетат,полимер,хаки,Полусапоги
shoes-muzhskaia-rezin-obuv\image_3_MP002XM0BUZZ_25158872_4_v1.jpg,демисезон,этиленвинилацетат,полимер,хаки,Полусапоги
shoes-muzhskaia-rezin-obuv\image_4_MP002XM0BUZZ_25158873_5_v1.jpg,демисезон,этиленвинилацетат,полимер,хаки,Полусапоги
shoes-muzhskaia-rezin-obuv\image_0_RTLADJ687202_23777446_1_v1.jpg,лето,ПВХ,искусственный материал,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_1_RTLADJ687202_23777447_2_v1.jpg,лето,ПВХ,искусственный материал,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_2_RTLADJ687202_23777448_3_v1.jpg,лето,ПВХ,искусственный материал,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_3_RTLADJ687202_23777449_4_v1.jpg,лето,ПВХ,искусственный материал,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_4_RTLADJ687202_23777450_5_v1.jpg,лето,ПВХ,искусственный материал,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_5_RTLADJ687202_24283168_11_v2_2x.jpg,лето,ПВХ,искусственный материал,черный,Сланцы
shoes-muzhskaia-rezin-obuv\image_0_MP002XM1I6TQ_17629486_1_v2.jpg,демисезон,этиленвинилацетат,полимер,желтый,Полусапоги
