image_path,Сезон,Материал подошвы,Материал верха,Цвет,Категория
shoes-muzhskie-botinki\image_0_MP002XM0C0ZZ_25351647_1_v2.jpg,зима,резина,"нейлон, полиэстер",зеленый,Ботинки
shoes-muzhskie-botinki\image_1_MP002XM0C0ZZ_25351648_2_v2.jpg,зима,резина,"нейлон, полиэстер",зеленый,Ботинки
shoes-muzhskie-botinki\image_2_MP002XM0C0ZZ_25351649_3_v2.jpg,зима,резина,"нейлон, полиэстер",зеленый,Ботинки
shoes-muzhskie-botinki\image_3_MP002XM0C0ZZ_25351650_4_v2.jpg,зима,резина,"нейлон, полиэстер",зеленый,Ботинки
shoes-muzhskie-botinki\image_4_MP002XM0C0ZZ_25351651_5_v2.jpg,зима,резина,"нейлон, полиэстер",зеленый,Ботинки
shoes-muzhskie-botinki\image_0_MP002XM0BSPX_24977508_1_v1.jpg,демисезон,резина,натуральная кожа,синий,Высокие ботинки
shoes-muzhskie-botinki\image_1_MP002XM0BSPX_24977509_2_v1.jpg,демисезон,резина,натуральная кожа,синий,Высокие ботинки
shoes-muzhskie-botinki\image_2_MP002XM0BSPX_24977510_3_v1.jpg,демисезон,резина,натуральная кожа,синий,Высокие ботинки
shoes-muzhskie-botinki\image_3_MP002XM0BSPX_24977511_4_v1.jpg,демисезон,резина,натуральная кожа,синий,Высокие ботинки
shoes-muzhskie-botinki\image_4_MP002XM0BSPX_24977512_5_v1.jpg,демисезон,резина,натуральная кожа,синий,Высокие ботинки
shoes-muzhskie-botinki\image_0_MP002XM1UAHV_21720334_1_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, полиэстер",черный,Низкие ботинки
shoes-muzhskie-botinki\image_1_MP002XM1UAHV_21720335_2_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, полиэстер",черный,Низкие ботинки
shoes-muzhskie-botinki\image_2_MP002XM1UAHV_21720336_3_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, полиэстер",черный,Низкие ботинки
shoes-muzhskie-botinki\image_3_MP002XM1UAHV_21720337_4_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, полиэстер",черный,Низкие ботинки
shoes-muzhskie-botinki\image_4_MP002XM1UAHV_21720338_5_v1.jpg,демисезон,термопластичная резина,"натуральная кожа, полиэстер",черный,Низкие ботинки
shoes-muzhskie-botinki\image_0_MP002XM1RL3K_15522219_1_v2.jpg,демисезон,термоэластопласт,натуральная кожа,черный,Высокие ботинки
