image_path,Сезон,Материал подошвы,Материал верха,Цвет,Категория
shoes-muzhskie-mokasiny\image_0_RTLADD795401_21843973_1_v1.jpg,зима,резина,натуральная замша,черный,Мокасины
shoes-muzhskie-mokasiny\image_1_RTLADD795401_21843974_2_v1.jpg,зима,резина,натуральная замша,черный,Мокасины
shoes-muzhskie-mokasiny\image_2_RTLADD795401_21843975_3_v1.jpg,зима,резина,натуральная замша,черный,Мокасины
shoes-muzhskie-mokasiny\image_3_RTLADD795401_21843976_4_v1.jpg,зима,резина,натуральная замша,черный,Мокасины
shoes-muzhskie-mokasiny\image_4_RTLADD795401_21843977_5_v1.jpg,зима,резина,натуральная замша,черный,Мокасины
shoes-muzhskie-mokasiny\image_0_MP002XM0V7FH_20457212_1_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_1_MP002XM0V7FH_20457213_2_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_2_MP002XM0V7FH_20457214_3_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_3_MP002XM0V7FH_20457215_4_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_4_MP002XM0V7FH_20457216_5_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_0_RTLACP713601_19823916_1_v1.jpg,Не указано,резина,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_1_RTLACP713601_19823917_2_v1.jpg,Не указано,резина,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_2_RTLACP713601_19823918_3_v1.jpg,Не указано,резина,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_3_RTLACP713601_19823919_4_v1.jpg,Не указано,резина,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_4_RTLACP713601_19823920_5_v1.jpg,Не указано,резина,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_0_RTLADD795501_21932936_1_v1.jpg,зима,резина,натуральная замша,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_1_RTLADD795501_21932937_2_v1.jpg,зима,резина,натуральная замша,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_2_RTLADD795501_21932938_3_v1.jpg,зима,резина,натуральная замша,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_3_RTLADD795501_21932939_4_v1.jpg,зима,резина,натуральная замша,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_4_RTLADD795501_21932940_5_v1.jpg,зима,резина,натуральная замша,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_0_MP002XM0V7FC_20457730_1_v1.jpg,мульти,термоэластопласт,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_1_MP002XM0V7FC_20457731_2_v1.jpg,мульти,термоэластопласт,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_2_MP002XM0V7FC_20457732_3_v1.jpg,мульти,термоэластопласт,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_3_MP002XM0V7FC_20457733_4_v1.jpg,мульти,термоэластопласт,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_4_MP002XM0V7FC_20457734_5_v1.jpg,мульти,термоэластопласт,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_0_MP002XM08M2X_18191144_1_v1.jpg,зима,резина,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_1_MP002XM08M2X_18191145_2_v1.jpg,зима,резина,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_2_MP002XM08M2X_18191146_3_v1.jpg,зима,резина,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_3_MP002XM08M2X_18191147_4_v1.jpg,зима,резина,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_4_MP002XM08M2X_18191148_5_v1.jpg,зима,резина,натуральная кожа,коричневый,Мокасины
shoes-muzhskie-mokasiny\image_0_MP002XM00FL3_23034829_1_v1.jpg,"демисезон, лето",этиленвинилацетат,"натуральный нубук, натуральный спилок",черный,Топсайдеры
shoes-muzhskie-mokasiny\image_1_MP002XM00FL3_23034830_2_v1.jpg,"демисезон, лето",этиленвинилацетат,"натуральный нубук, натуральный спилок",черный,Топсайдеры
shoes-muzhskie-mokasiny\image_2_MP002XM00FL3_23034831_3_v1.jpg,"демисезон, лето",этиленвинилацетат,"натуральный нубук, натуральный спилок",черный,Топсайдеры
shoes-muzhskie-mokasiny\image_3_MP002XM00FL3_23034832_4_v1.jpg,"демисезон, лето",этиленвинилацетат,"натуральный нубук, натуральный спилок",черный,Топсайдеры
shoes-muzhskie-mokasiny\image_4_MP002XM00FL3_23034833_5_v1.jpg,"демисезон, лето",этиленвинилацетат,"натуральный нубук, натуральный спилок",черный,Топсайдеры
shoes-muzhskie-mokasiny\image_0_MP002XM1ZD8G_19231440_1_v2.jpg,лето,термоэластопласт,"натуральный нубук, текстиль",коричневый,Мокасины
shoes-muzhskie-mokasiny\image_1_MP002XM1ZD8G_19231441_2_v2.jpg,лето,термоэластопласт,"натуральный нубук, текстиль",коричневый,Мокасины
shoes-muzhskie-mokasiny\image_2_MP002XM1ZD8G_19231442_3_v2.jpg,лето,термоэластопласт,"натуральный нубук, текстиль",коричневый,Мокасины
shoes-muzhskie-mokasiny\image_3_MP002XM1ZD8G_19231443_4_v2.jpg,лето,термоэластопласт,"натуральный нубук, текстиль",коричневый,Мокасины
shoes-muzhskie-mokasiny\image_4_MP002XM1ZD8G_19231444_5_v2.jpg,лето,термоэластопласт,"натуральный нубук, текстиль",коричневый,Мокасины
shoes-muzhskie-mokasiny\image_0_MP002XM0T0SI_20322608_1_v1.jpg,мульти,полиуретан,натуральная кожа,серый,Топсайдеры
shoes-muzhskie-mokasiny\image_1_MP002XM0T0SI_20322609_2_v1.jpg,мульти,полиуретан,натуральная кожа,серый,Топсайдеры
shoes-muzhskie-mokasiny\image_2_MP002XM0T0SI_20322610_3_v1.jpg,мульти,полиуретан,натуральная кожа,серый,Топсайдеры
shoes-muzhskie-mokasiny\image_3_MP002XM0T0SI_20322611_4_v1.jpg,мульти,полиуретан,натуральная кожа,серый,Топсайдеры
shoes-muzhskie-mokasiny\image_4_MP002XM0T0SI_20322612_5_v1.jpg,мульти,полиуретан,натуральная кожа,серый,Топсайдеры
shoes-muzhskie-mokasiny\image_0_MP002XM1UG0L_19515309_1_v1.jpg,лето,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_1_MP002XM1UG0L_19515310_2_v1.jpg,лето,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_2_MP002XM1UG0L_19515311_3_v1.jpg,лето,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_3_MP002XM1UG0L_19515312_4_v1.jpg,лето,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_4_MP002XM1UG0L_19515313_5_v1.jpg,лето,термоэластопласт,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_0_MP002XM00FKH_23023024_1_v1.jpg,мульти,резина,натуральный спилок,серый,Мокасины
shoes-muzhskie-mokasiny\image_1_MP002XM00FKH_23023025_2_v1.jpg,мульти,резина,натуральный спилок,серый,Мокасины
shoes-muzhskie-mokasiny\image_2_MP002XM00FKH_23023026_3_v1.jpg,мульти,резина,натуральный спилок,серый,Мокасины
shoes-muzhskie-mokasiny\image_3_MP002XM00FKH_23023027_4_v1.jpg,мульти,резина,натуральный спилок,серый,Мокасины
shoes-muzhskie-mokasiny\image_4_MP002XM00FKH_23023028_5_v1.jpg,мульти,резина,натуральный спилок,серый,Мокасины
shoes-muzhskie-mokasiny\image_0_MP002XM1UG1M_19512799_1_v1.jpg,лето,термоэластопласт,натуральный нубук,голубой,Мокасины
shoes-muzhskie-mokasiny\image_1_MP002XM1UG1M_19512800_2_v1.jpg,лето,термоэластопласт,натуральный нубук,голубой,Мокасины
shoes-muzhskie-mokasiny\image_2_MP002XM1UG1M_19512801_3_v1.jpg,лето,термоэластопласт,натуральный нубук,голубой,Мокасины
shoes-muzhskie-mokasiny\image_3_MP002XM1UG1M_19512802_4_v1.jpg,лето,термоэластопласт,натуральный нубук,голубой,Мокасины
shoes-muzhskie-mokasiny\image_4_MP002XM1UG1M_19512803_5_v1.jpg,лето,термоэластопласт,натуральный нубук,голубой,Мокасины
shoes-muzhskie-mokasiny\image_0_MP002XM25BN8_24410486_1_v1.jpg,мульти,каучук,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_1_MP002XM25BN8_24410487_2_v1.jpg,мульти,каучук,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_2_MP002XM25BN8_24410488_3_v1.jpg,мульти,каучук,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_3_MP002XM25BN8_24410489_4_v1.jpg,мульти,каучук,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_4_MP002XM25BN8_24410490_5_v1.jpg,мульти,каучук,натуральная замша,серый,Мокасины
shoes-muzhskie-mokasiny\image_0_MP002XM0B8JM_23915188_1_v1.jpg,мульти,резина,натуральная кожа,черный,Мокасины
shoes-muzhskie-mokasiny\image_1_MP002XM0B8JM_23915189_2_v1.jpg,мульти,резина,натуральная кожа,черный,Мокасины
