image_path,Сезон,Материал подошвы,Материал верха,Цвет,Категория
shoes-muzhskie-sandalii\image_0_MP002XM1H9VC_13976823_1_v1.jpg,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный,Сандалии
shoes-muzhskie-sandalii\image_1_MP002XM1H9VC_13976824_2_v1.jpg,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный,Сандалии
shoes-muzhskie-sandalii\image_2_MP002XM1H9VC_13976825_3_v1.jpg,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный,Сандалии
shoes-muzhskie-sandalii\image_3_MP002XM1H9VC_13976826_4_v1.jpg,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный,Сандалии
shoes-muzhskie-sandalii\image_4_MP002XM1H9VC_13976827_5_v1.jpg,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный,Сандалии
shoes-muzhskie-sandalii\image_0_MP002XM00KSB_23294901_1_v3.jpg,лето,резина,"искусственная кожа, текстиль",черный,Сандалии
shoes-muzhskie-sandalii\image_1_MP002XM00KSB_23294902_2_v3.jpg,лето,резина,"искусственная кожа, текстиль",черный,Сандалии
shoes-muzhskie-sandalii\image_2_MP002XM00KSB_23294903_3_v3.jpg,лето,резина,"искусственная кожа, текстиль",черный,Сандалии
shoes-muzhskie-sandalii\image_3_MP002XM00KSB_23294904_4_v3.jpg,лето,резина,"искусственная кожа, текстиль",черный,Сандалии
shoes-muzhskie-sandalii\image_4_MP002XM00KSB_23294905_5_v3.jpg,лето,резина,"искусственная кожа, текстиль",черный,Сандалии
shoes-muzhskie-sandalii\image_0_MP002XM086MX_16718201_1_v3.jpg,лето,резина,натуральная кожа,синий,Сандалии
shoes-muzhskie-sandalii\image_1_MP002XM086MX_16718202_2_v2.jpg,лето,резина,натуральная кожа,синий,Сандалии
shoes-muzhskie-sandalii\image_2_MP002XM086MX_16718203_3_v2.jpg,лето,резина,натуральная кожа,синий,Сандалии
shoes-muzhskie-sandalii\image_3_MP002XM086MX_16718204_4_v2.jpg,лето,резина,натуральная кожа,синий,Сандалии
shoes-muzhskie-sandalii\image_4_MP002XM086MX_16718205_5_v2.jpg,лето,резина,натуральная кожа,синий,Сандалии
shoes-muzhskie-sandalii\image_0_MP002XM0VNN1_19822673_1_v1.jpg,лето,полиуретан,натуральная кожа,черный,Сандалии
shoes-muzhskie-sandalii\image_1_MP002XM0VNN1_19822674_2_v1.jpg,лето,полиуретан,натуральная кожа,черный,Сандалии
shoes-muzhskie-sandalii\image_2_MP002XM0VNN1_19822675_3_v1.jpg,лето,полиуретан,натуральная кожа,черный,Сандалии
shoes-muzhskie-sandalii\image_3_MP002XM0VNN1_19822676_4_v1.jpg,лето,полиуретан,натуральная кожа,черный,Сандалии
shoes-muzhskie-sandalii\image_4_MP002XM0VNN1_19822677_5_v1.jpg,лето,полиуретан,натуральная кожа,черный,Сандалии
shoes-muzhskie-sandalii\image_0_MP002XM0B9VG_24005915_1_v1.jpg,лето,этиленвинилацетат,натуральный нубук,бежевый,Сандалии
shoes-muzhskie-sandalii\image_1_MP002XM0B9VG_24005916_2_v1.jpg,лето,этиленвинилацетат,натуральный нубук,бежевый,Сандалии
shoes-muzhskie-sandalii\image_2_MP002XM0B9VG_24005917_3_v1.jpg,лето,этиленвинилацетат,натуральный нубук,бежевый,Сандалии
shoes-muzhskie-sandalii\image_3_MP002XM0B9VG_24005918_4_v1.jpg,лето,этиленвинилацетат,натуральный нубук,бежевый,Сандалии
shoes-muzhskie-sandalii\image_4_MP002XM0B9VG_24005919_5_v1.jpg,лето,этиленвинилацетат,натуральный нубук,бежевый,Сандалии
shoes-muzhskie-sandalii\image_0_MP002XM00AJY_22704945_1_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,черный,Сандалии
shoes-muzhskie-sandalii\image_1_MP002XM00AJY_22704951_2_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,черный,Сандалии
shoes-muzhskie-sandalii\image_2_MP002XM00AJY_22704998_3_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,черный,Сандалии
shoes-muzhskie-sandalii\image_3_MP002XM00AJY_22704967_4_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,черный,Сандалии
shoes-muzhskie-sandalii\image_4_MP002XM00AJY_22704958_5_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,черный,Сандалии
shoes-muzhskie-sandalii\image_0_RTLAAD872501_13645955_1_v1.jpg,мульти,ПВХ,ПВХ,синий,Сабо и мюли
shoes-muzhskie-sandalii\image_1_RTLAAD872501_13645956_2_v1.jpg,мульти,ПВХ,ПВХ,синий,Сабо и мюли
shoes-muzhskie-sandalii\image_2_RTLAAD872501_13645957_3_v1.jpg,мульти,ПВХ,ПВХ,синий,Сабо и мюли
shoes-muzhskie-sandalii\image_3_RTLAAD872501_13645958_4_v1.jpg,мульти,ПВХ,ПВХ,синий,Сабо и мюли
shoes-muzhskie-sandalii\image_4_RTLAAD872501_13645959_5_v1.jpg,мульти,ПВХ,ПВХ,синий,Сабо и мюли
shoes-muzhskie-sandalii\image_0_MP002XM00CZD_22822783_1_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,бежевый,Сандалии
shoes-muzhskie-sandalii\image_1_MP002XM00CZD_22822763_2_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,бежевый,Сандалии
shoes-muzhskie-sandalii\image_2_MP002XM00CZD_22822736_3_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,бежевый,Сандалии
shoes-muzhskie-sandalii\image_3_MP002XM00CZD_22822772_4_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,бежевый,Сандалии
shoes-muzhskie-sandalii\image_4_MP002XM00CZD_22822754_5_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,бежевый,Сандалии
shoes-muzhskie-sandalii\image_5_MP002XM00CZD_22822778_6_v1_2x.jpeg,лето,этиленвинилацетат,текстиль,бежевый,Сандалии
shoes-muzhskie-sandalii\image_0_RTLADJ687601_23816871_1_v2.jpg,лето,этиленвинилацетат,полиуретан,черный,Сандалии
shoes-muzhskie-sandalii\image_1_RTLADJ687601_23816872_2_v2.jpg,лето,этиленвинилацетат,полиуретан,черный,Сандалии
