image_path,Сезон,Материал подошвы,Материал верха,Цвет,Категория
shoes-sapogi-men\image_0_MP002XM0BXOS_25064408_1_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_1_MP002XM0BXOS_25064435_2_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_2_MP002XM0BXOS_25064398_3_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_3_MP002XM0BXOS_25064419_4_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_4_MP002XM0BXOS_25064443_5_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_5_MP002XM0BXOS_25064428_6_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_0_MP002XM0BHLH_25086835_1_v1.jpg,зима,термоэластопласт,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_1_MP002XM0BHLH_25086836_2_v1.jpg,зима,термоэластопласт,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_2_MP002XM0BHLH_25086837_3_v1.jpg,зима,термоэластопласт,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_3_MP002XM0BHLH_25086838_4_v1.jpg,зима,термоэластопласт,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_4_MP002XM0BHLH_25086839_5_v1.jpg,зима,термоэластопласт,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_5_MP002XM0BHLH_25086840_6_v1.jpg,зима,термоэластопласт,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_0_MP002XM0BHMG_24975216_1_v1.jpg,зима,термоэластопласт,"текстиль, натуральный спилок",черный,Дутики и луноходы
shoes-sapogi-men\image_1_MP002XM0BHMG_24975223_2_v1.jpg,зима,термоэластопласт,"текстиль, натуральный спилок",черный,Дутики и луноходы
shoes-sapogi-men\image_2_MP002XM0BHMG_24975224_3_v1.jpg,зима,термоэластопласт,"текстиль, натуральный спилок",черный,Дутики и луноходы
shoes-sapogi-men\image_3_MP002XM0BHMG_24975227_4_v1.jpg,зима,термоэластопласт,"текстиль, натуральный спилок",черный,Дутики и луноходы
shoes-sapogi-men\image_4_MP002XM0BHMG_24975230_5_v1.jpg,зима,термоэластопласт,"текстиль, натуральный спилок",черный,Дутики и луноходы
shoes-sapogi-men\image_5_MP002XM0BHMG_24975233_6_v1.jpg,зима,термоэластопласт,"текстиль, натуральный спилок",черный,Дутики и луноходы
shoes-sapogi-men\image_0_MP002XM0BXPC_25064492_1_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",зеленый,Сапоги
shoes-sapogi-men\image_1_MP002XM0BXPC_25064466_2_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",зеленый,Сапоги
shoes-sapogi-men\image_2_MP002XM0BXPC_25064468_3_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",зеленый,Сапоги
shoes-sapogi-men\image_3_MP002XM0BXPC_25064471_4_v2.jpg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",зеленый,Сапоги
shoes-sapogi-men\image_4_MP002XM0BXPC_25064476_5_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",зеленый,Сапоги
shoes-sapogi-men\image_5_MP002XM0BXPC_25064479_6_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",зеленый,Сапоги
shoes-sapogi-men\image_0_MP002XM0BXPA_25064503_1_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_1_MP002XM0BXPA_25064501_2_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_2_MP002XM0BXPA_25064495_3_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_3_MP002XM0BXPA_25064499_4_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_4_MP002XM0BXPA_25064504_5_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_5_MP002XM0BXPA_25064502_6_v1.jpeg,зима,"термопластичная резина, этиленвинилацетат","текстиль, натуральный спилок",черный,Сапоги
shoes-sapogi-men\image_0_RTLADS341701_24450290_1_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_1_RTLADS341701_24450291_2_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_2_RTLADS341701_24450292_3_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_3_RTLADS341701_24450293_4_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_4_RTLADS341701_24450294_5_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,Дутики и луноходы
shoes-sapogi-men\image_0_MP002XM0BX7M_25056125_1_v2.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, полиэстер",хаки,Сапоги
shoes-sapogi-men\image_1_MP002XM0BX7M_25056124_2_v2.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, полиэстер",хаки,Сапоги
shoes-sapogi-men\image_2_MP002XM0BX7M_25056120_3_v2.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, полиэстер",хаки,Сапоги
shoes-sapogi-men\image_3_MP002XM0BX7M_25056123_4_v2.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, полиэстер",хаки,Сапоги
shoes-sapogi-men\image_4_MP002XM0BX7M_25056126_5_v2.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, полиэстер",хаки,Сапоги
shoes-sapogi-men\image_5_MP002XM0BX7M_25056127_6_v2.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, полиэстер",хаки,Сапоги
shoes-sapogi-men\image_0_MP002XM0BV0S_24977619_1_v1.jpg,"демисезон, зима",резина,текстиль,черный,Дутики и луноходы
shoes-sapogi-men\image_1_MP002XM0BV0S_24977620_2_v1.jpg,"демисезон, зима",резина,текстиль,черный,Дутики и луноходы
shoes-sapogi-men\image_2_MP002XM0BV0S_24977621_3_v1.jpg,"демисезон, зима",резина,текстиль,черный,Дутики и луноходы
shoes-sapogi-men\image_3_MP002XM0BV0S_24977622_4_v1.jpg,"демисезон, зима",резина,текстиль,черный,Дутики и луноходы
shoes-sapogi-men\image_4_MP002XM0BV0S_24977623_5_v1.jpg,"демисезон, зима",резина,текстиль,черный,Дутики и луноходы
shoes-sapogi-men\image_5_MP002XM0BV0S_24977624_6_v1.jpg,"демисезон, зима",резина,текстиль,черный,Дутики и луноходы
