image_path,Категория,Сезон,Цвет,Узор,Фасон
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM0BH4Y_25148250_1_v1_2x.jpg,Утепленные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM0BH4Y_25148251_2_v1_2x.jpg,Утепленные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM0BH4Y_25148252_3_v1_2x.jpg,Утепленные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM0BH4Y_25148253_4_v1_2x.jpg,Утепленные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM00KPI_23758878_1_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM00KPI_23758879_2_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM00KPI_23758880_3_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM00KPI_23758881_4_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM0BH2V_24754765_1_v1_2x.jpg,Повседневные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM0BH2V_24754766_2_v1_2x.jpg,Повседневные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM0BH2V_24754767_3_v1_2x.jpg,Повседневные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM0BH2V_24754768_4_v1_2x.jpg,Повседневные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM0BLV6_24633387_1_v1_2x.jpg,Классические брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM0BLV6_24633388_2_v1_2x.jpg,Классические брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM0BLV6_24633389_3_v1_2x.jpg,Классические брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM0BLV6_24633390_4_v1_2x.jpg,Классические брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM0BBEG_24488927_1_v1_2x.jpg,Спортивные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM0BBEG_24488928_2_v1_2x.jpg,Спортивные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM0BBEG_24488929_3_v1_2x.jpg,Спортивные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM0BBEG_24488930_4_v1_2x.jpg,Спортивные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM0BHA0_24973242_1_v1_2x.jpg,Утепленные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM0BHA0_24973243_2_v1_2x.jpg,Утепленные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM0BHA0_24973244_3_v1_2x.jpg,Утепленные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM0BHA0_24973245_4_v1_2x.jpg,Утепленные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM094PF_18585084_1_v1_2x.jpg,Брюки,демисезон,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM094PF_18585085_2_v1_2x.jpg,Брюки,демисезон,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM094PF_18585086_3_v1_2x.jpg,Брюки,демисезон,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM094PF_18585087_4_v1_2x.jpg,Брюки,демисезон,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM093AC_18947685_1_v1.jpg,Спортивные брюки,мульти,синий,однотонный,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM093AC_18947686_2_v1.jpg,Спортивные брюки,мульти,синий,однотонный,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM0BFH2_24378973_1_v1_2x.jpg,Спортивные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM0BFH2_24378974_2_v1_2x.jpg,Спортивные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM0BFH2_24378976_4_v1_2x.jpg,Спортивные брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM0BBEF_24189251_1_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM0BBEF_24189252_2_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM0BBEF_24189253_3_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM0BBEF_24189254_4_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_RTLADS295001_25146321_1_v1.jpg,Брюки,мульти,черный,однотонный,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_RTLADS295001_25146322_2_v1.jpg,Брюки,мульти,черный,однотонный,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM0VGH6_22064054_1_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM0VGH6_22064055_2_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM0VGH6_22064056_3_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM0VGH6_22064057_4_v1_2x.jpg,Брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_0_MP002XM0BLV7_24634460_1_v1_2x.jpg,Классические брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_1_MP002XM0BLV7_24634461_2_v1_2x.jpg,Классические брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_2_MP002XM0BLV7_24634462_3_v1_2x.jpg,Классические брюки,Не указано,Не указано,Не указано,Не указано
man_clothes-clothes-muzhskie-bryuki\image_3_MP002XM0BLV7_24634463_4_v1_2x.jpg,Классические брюки,Не указано,Не указано,Не указано,Не указано
